Date & time of file creation	3/27/2023 10:57 AM																																													
Raw data file path	C:\Users\Administrator\Desktop\respiration3_27_2023\BS_8_3_27_2023_raw.txt																																													
Data file path	C:\Users\Administrator\Desktop\respiration3_27_2023\BS_8_3_27_2023.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	60.8800	28.1062	0.00	100.00	20.00	16.34																																							
Chamber 2	1	60.8800	27.8675	0.00	100.00	20.00	16.34																																							
Chamber 3	1	60.8800	27.2713	0.00	100.00	20.00	16.34																																							
Chamber 4	1	60.8800	27.8650	0.00	100.00	20.00	16.34																																							
Chamber 5	1	60.8800	27.1013	0.00	100.00	20.00	16.29																																							
Chamber 6	1	60.8800	28.1612	0.00	100.00	20.00	16.29																																							
Chamber 7	1	60.8800	27.7763	0.00	100.00	20.00	16.29																																							
Chamber 8	1	60.8800	27.6700	0.00	100.00	20.00	16.29																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	68	0	17.50000000000001	1	10	Not used	Not used	Not used																																						
Chamber 2	68	0	22.00000000000001	1	Not used	Not used	Not used	Not used																																						
Chamber 3	68	0	19	1	Not used	Not used	Not used	Not used																																						
Chamber 4	68	0	11.4	1	Not used	Not used	Not used	Not used																																						
Chamber 5	68	0	13.6	1	10	Not used	Not used	Not used																																						
Chamber 6	68	0	14.4	1	Not used	Not used	Not used	Not used																																						
Chamber 7	68	0	14.4	1	Not used	Not used	Not used	Not used																																						
Chamber 8	68	0	13.2	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
3/27/2023/10:58:11 AM	Flush	1019.0	26.7	28.0712	16.32	100.36	27.8712	16.32	100.00	27.1825	16.32	100.88	27.7975	16.32	100.67	27.1738	16.34	99.24	28.1163	16.34	100.33	27.7525	16.34	100.14	27.6363	16.34	100.24	NaN	NaN	NaN	NaN	16.3163	16.32	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:12 AM	Flush	1019.0	26.7	28.0900	16.31	100.20	27.8637	16.31	100.09	27.1275	16.31	101.41	27.8300	16.31	100.38	27.2037	16.34	98.96	28.1175	16.34	100.32	27.7325	16.34	100.32	27.6412	16.34	100.19	NaN	NaN	NaN	NaN	16.3100	16.31	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:13 AM	Flush	1019.0	26.7	28.0937	16.31	100.17	27.8313	16.31	100.39	27.1588	16.31	101.11	27.7987	16.31	100.67	27.1375	16.34	99.58	28.1225	16.34	100.27	27.7312	16.34	100.34	27.6562	16.34	100.05	NaN	NaN	NaN	NaN	16.3100	16.31	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:14 AM	M1   	1019.0	26.7	28.0925	16.31	100.17	27.8388	16.31	100.31	27.2462	16.31	100.28	27.8450	16.31	100.23	27.1375	16.34	99.58	28.1212	16.34	100.28	27.7613	16.34	100.06	27.6425	16.34	100.18	NaN	NaN	NaN	NaN	16.3137	16.31	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:15 AM	M1   	1019.0	26.7	28.0875	16.32	100.21	27.8350	16.32	100.34	27.3025	16.32	99.75	27.8325	16.32	100.34	27.2075	16.34	98.92	28.1325	16.34	100.18	27.7725	16.34	99.95	27.6375	16.34	100.23	NaN	NaN	NaN	NaN	16.3163	16.32	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:16 AM	M1   	1019.0	26.7	28.0963	16.31	100.14	27.8525	16.31	100.18	27.2212	16.31	100.51	27.7925	16.31	100.72	27.1975	16.34	99.02	28.1388	16.34	100.12	27.7600	16.34	100.07	27.6500	16.34	100.11	NaN	NaN	NaN	NaN	16.3137	16.31	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:17 AM	M1   	1019.0	26.7	28.0787	16.32	100.28	27.8513	16.32	100.18	27.1900	16.32	100.79	27.8375	16.32	100.28	27.1525	16.34	99.44	28.1475	16.34	100.04	27.7638	16.34	100.03	27.6575	16.34	100.04	NaN	NaN	NaN	NaN	16.3238	16.32	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:18 AM	M1   	1019.0	26.7	28.0750	16.33	100.31	27.8625	16.33	100.06	27.2088	16.33	100.61	27.8650	16.33	100.02	27.1325	16.34	99.63	28.1400	16.34	100.11	27.7700	16.34	99.97	27.6663	16.34	99.96	NaN	NaN	NaN	NaN	16.3300	16.33	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:19 AM	M1   	1019.0	26.7	28.0963	16.33	100.11	27.8575	16.33	100.11	27.2175	16.33	100.52	27.8712	16.33	99.96	27.1088	16.34	99.85	28.1675	16.34	99.86	27.7737	16.34	99.94	27.6600	16.34	100.02	NaN	NaN	NaN	NaN	16.3300	16.33	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:20 AM	M1   	1019.0	26.7	28.0937	16.33	100.13	27.8663	16.33	100.03	27.1837	16.33	100.84	27.8400	16.33	100.25	27.1050	16.34	99.88	28.1375	16.34	100.13	27.7725	16.34	99.95	27.6713	16.34	99.91	NaN	NaN	NaN	NaN	16.3300	16.33	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:21 AM	M1   	1019.0	26.7	28.1000	16.33	100.07	27.8675	16.33	100.02	27.1750	16.33	100.93	27.8400	16.33	100.25	27.1525	16.35	99.42	28.1537	16.35	99.97	27.7525	16.35	100.12	27.6825	16.35	99.79	NaN	NaN	NaN	NaN	16.3300	16.33	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:22 AM	M1   	1019.0	26.7	28.0925	16.33	100.14	27.8762	16.33	99.94	27.1687	16.33	100.99	27.8250	16.33	100.39	27.1375	16.35	99.56	28.1412	16.35	100.08	27.7475	16.35	100.17	27.6550	16.35	100.05	NaN	NaN	NaN	NaN	16.3300	16.33	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:23 AM	M1   	1019.0	26.7	28.0875	16.33	100.19	27.8663	16.33	100.03	27.2525	16.33	100.19	27.8113	16.33	100.52	27.1025	16.35	99.89	28.1250	16.35	100.23	27.7638	16.35	100.02	27.6337	16.35	100.25	NaN	NaN	NaN	NaN	16.3300	16.33	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:24 AM	M1   	1018.0	26.7	28.1000	16.33	100.07	27.8562	16.33	100.12	27.2950	16.33	99.79	27.8487	16.33	100.17	27.1900	16.35	99.07	28.1350	16.35	100.14	27.7775	16.35	99.89	27.6438	16.35	100.15	NaN	NaN	NaN	NaN	16.3300	16.33	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:25 AM	M1   	1018.0	26.7	28.1075	16.33	100.00	27.8650	16.33	100.03	27.2162	16.33	100.53	27.8687	16.33	99.98	27.1750	16.35	99.21	28.1212	16.35	100.27	27.7862	16.35	99.81	27.6500	16.35	100.09	NaN	NaN	NaN	NaN	16.3337	16.33	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:26 AM	M1   	1018.0	26.7	28.1125	16.34	99.94	27.8825	16.34	99.86	27.2100	16.34	100.58	27.8350	16.34	100.28	27.1500	16.35	99.44	28.1400	16.35	100.09	27.7763	16.35	99.90	27.6575	16.35	100.02	NaN	NaN	NaN	NaN	16.3400	16.34	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:27 AM	M1   	1018.0	26.7	28.1000	16.34	100.06	27.8700	16.34	99.98	27.2438	16.34	100.26	27.8400	16.34	100.23	27.1162	16.35	99.76	28.1325	16.35	100.16	27.7662	16.35	99.99	27.6625	16.35	99.98	NaN	NaN	NaN	NaN	16.3400	16.34	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:28 AM	M1   	1018.0	26.7	28.0963	16.34	100.09	27.8700	16.34	99.98	27.2737	16.34	99.98	27.8938	16.34	99.73	27.0975	16.35	99.94	28.1350	16.35	100.14	27.7638	16.35	100.02	27.6575	16.35	100.02	NaN	NaN	NaN	NaN	16.3400	16.34	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:29 AM	M1   	1018.0	26.7	28.0937	16.34	100.12	27.8738	16.34	99.94	27.2488	16.34	100.21	27.8513	16.34	100.13	27.1075	16.35	99.84	28.1525	16.35	99.98	27.7550	16.35	100.10	27.6663	16.35	99.94	NaN	NaN	NaN	NaN	16.3400	16.34	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:30 AM	M1   	1018.0	26.7	28.1075	16.34	99.99	27.8725	16.34	99.95	27.2575	16.34	100.13	27.7925	16.34	100.68	27.0613	16.35	100.28	28.1212	16.35	100.27	27.7375	16.35	100.26	27.6562	16.35	100.04	NaN	NaN	NaN	NaN	16.3400	16.34	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:31 AM	M1   	1018.0	26.7	28.1125	16.34	99.94	27.8562	16.34	100.10	27.2275	16.34	100.41	27.8300	16.34	100.33	27.0925	16.35	99.99	28.1125	16.35	100.35	27.7500	16.35	100.14	27.6500	16.35	100.09	NaN	NaN	NaN	NaN	16.3400	16.34	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:32 AM	M1   	1018.0	26.7	28.1000	16.34	100.06	27.8538	16.34	100.13	27.2550	16.34	100.15	27.8375	16.34	100.26	27.0825	16.35	100.08	28.1462	16.35	100.04	27.7575	16.35	100.07	27.6500	16.35	100.09	NaN	NaN	NaN	NaN	16.3400	16.34	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:33 AM	M1   	1018.0	26.7	28.1000	16.34	100.05	27.8637	16.34	100.03	27.2725	16.34	99.98	27.8500	16.34	100.13	27.1550	16.35	99.39	28.1325	16.35	100.16	27.7700	16.35	99.95	27.6500	16.35	100.09	NaN	NaN	NaN	NaN	16.3437	16.34	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:34 AM	M1   	1018.0	26.7	28.1038	16.35	100.01	27.8700	16.35	99.96	27.2788	16.35	99.91	27.8350	16.35	100.26	27.1638	16.36	99.30	28.1125	16.36	100.33	27.7700	16.36	99.94	27.6387	16.36	100.18	NaN	NaN	NaN	NaN	16.3500	16.35	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:35 AM	M1   	1018.0	26.7	28.0987	16.35	100.05	27.8775	16.35	99.89	27.2575	16.35	100.11	27.8100	16.35	100.50	27.1562	16.36	99.38	28.1075	16.36	100.38	27.7775	16.36	99.88	27.6388	16.36	100.19	NaN	NaN	NaN	NaN	16.3500	16.35	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:36 AM	M1   	1018.0	26.7	28.0912	16.35	100.12	27.8825	16.35	99.84	27.1962	16.35	100.69	27.8212	16.35	100.39	27.0875	16.35	100.03	28.1125	16.35	100.35	27.7787	16.35	99.88	27.6700	16.35	99.91	NaN	NaN	NaN	NaN	16.3500	16.35	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
3/27/2023/10:58:37 AM	M1   	1018.0	26.7	28.1025	16.35	100.02	27.8738	16.35	99.93	27.2025	16.35	100.63	27.8212	16.35	100.39	27.1162	16.35	99.76	28.1075	16.35	100.39	27.7638	16.35	100.01	27.6663	16.35	99.94	NaN	NaN	NaN	NaN	16.3500	16.35	OFF	NaN	NaN	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
