"","Individual","Treatment"
"1","adapter_trim.F1-B10-pH8.bam","Low"
"2","adapter_trim.F1-B11-pH8.bam","Low"
"3","adapter_trim.F1-B12-pH8.bam","Low"
"4","adapter_trim.F1-B13-pH8.bam","Low"
"5","adapter_trim.F1-B14-pH8.bam","Low"
"6","adapter_trim.F1-B15-pH8.bam","Low"
"7","adapter_trim.F1-B16-pH8.bam","Low"
"8","adapter_trim.F1-B18-pH8.bam","Low"
"9","adapter_trim.F1-B1-pH8.bam","Low"
"10","adapter_trim.F1-B20-pH8.bam","Low"
"11","adapter_trim.F1-B21-pH8.bam","Low"
"12","adapter_trim.F1-B24-pH8.bam","Low"
"13","adapter_trim.F1-B25-pH8.bam","Low"
"14","adapter_trim.F1-B2-pH8.bam","Low"
"15","adapter_trim.F1-B3-pH8.bam","Low"
"16","adapter_trim.F1-B4-pH8.bam","Low"
"17","adapter_trim.F1-B5-pH8.bam","Low"
"18","adapter_trim.F1-B6-pH8.bam","Low"
"19","adapter_trim.F1-B7-pH8.bam","Low"
"20","adapter_trim.F1-B8-pH8.bam","Low"
"21","adapter_trim.F1-B9-pH8.bam","Low"
"22","adapter_trim.F1-B11-pH75.bam","Moderate"
"23","adapter_trim.F1-B12-pH75.bam","Moderate"
"24","adapter_trim.F1-B13-pH75.bam","Moderate"
"25","adapter_trim.F1-B14-pH75.bam","Moderate"
"26","adapter_trim.F1-B15-pH75.bam","Moderate"
"27","adapter_trim.F1-B16-pH75.bam","Moderate"
"28","adapter_trim.F1-B17-pH75.bam","Moderate"
"29","adapter_trim.F1-B18-pH75.bam","Moderate"
"30","adapter_trim.F1-B1-pH75.bam","Moderate"
"31","adapter_trim.F1-B20-pH75.bam","Moderate"
"32","adapter_trim.F1-B21-pH75.bam","Moderate"
"33","adapter_trim.F1-B22-pH75.bam","Moderate"
"34","adapter_trim.F1-B23-pH75.bam","Moderate"
"35","adapter_trim.F1-B30-pH75.bam","Moderate"
"36","adapter_trim.F1-B3-pH75.bam","Moderate"
"37","adapter_trim.F1-B4-pH75.bam","Moderate"
"38","adapter_trim.F1-B6-pH75.bam","Moderate"
"39","adapter_trim.F1-B7-pH75.bam","Moderate"
"40","adapter_trim.F1-B8-pH75.bam","Moderate"
"41","adapter_trim.F1-B9-pH75.bam","Moderate"
