"","Individual","Treatment"
"1","adapter_trim.F3-J10-pH8.bam","Low"
"2","adapter_trim.F3-J11-pH8.bam","Low"
"3","adapter_trim.F3-J12-pH8.bam","Low"
"4","adapter_trim.F3-J13-pH8.bam","Low"
"5","adapter_trim.F3-J14-pH8.bam","Low"
"6","adapter_trim.F3-J15-pH8.bam","Low"
"7","adapter_trim.F3-J16-pH8.bam","Low"
"8","adapter_trim.F3-J17-pH8.bam","Low"
"9","adapter_trim.F3-J18-pH8.bam","Low"
"10","adapter_trim.F3-J19-pH8.bam","Low"
"11","adapter_trim.F3-J1-pH8.bam","Low"
"12","adapter_trim.F3-J20-pH8.bam","Low"
"13","adapter_trim.F3-J21-pH8.bam","Low"
"14","adapter_trim.F3-J22-pH8.bam","Low"
"15","adapter_trim.F3-J23-pH8.bam","Low"
"16","adapter_trim.F3-J24-pH8.bam","Low"
"17","adapter_trim.F3-J25-pH8.bam","Low"
"18","adapter_trim.F3-J26-pH8.bam","Low"
"19","adapter_trim.F3-J27-pH8.bam","Low"
"20","adapter_trim.F3-J28-pH8.bam","Low"
"21","adapter_trim.F3-J29-pH8.bam","Low"
"22","adapter_trim.F3-J2-pH8.bam","Low"
"23","adapter_trim.F3-J30-pH8.bam","Low"
"24","adapter_trim.F3-J31-pH8.bam","Low"
"25","adapter_trim.F3-J32-pH8.bam","Low"
"26","adapter_trim.F3-J33-pH8.bam","Low"
"27","adapter_trim.F3-J34-pH8.bam","Low"
"28","adapter_trim.F3-J35-pH8.bam","Low"
"29","adapter_trim.F3-J36-pH8.bam","Low"
"30","adapter_trim.F3-J37-pH8.bam","Low"
"31","adapter_trim.F3-J38-pH8.bam","Low"
"32","adapter_trim.F3-J39-pH8.bam","Low"
"33","adapter_trim.F3-J3-pH8.bam","Low"
"34","adapter_trim.F3-J40-pH8.bam","Low"
"35","adapter_trim.F3-J41-pH8.bam","Low"
"36","adapter_trim.F3-J42-pH8.bam","Low"
"37","adapter_trim.F3-J43-pH8.bam","Low"
"38","adapter_trim.F3-J44-pH8.bam","Low"
"39","adapter_trim.F3-J45-pH8.bam","Low"
"40","adapter_trim.F3-J46-pH8.bam","Low"
"41","adapter_trim.F3-J47-pH8.bam","Low"
"42","adapter_trim.F3-J48-pH8.bam","Low"
"43","adapter_trim.F3-J49-pH8.bam","Low"
"44","adapter_trim.F3-J4-pH8.bam","Low"
"45","adapter_trim.F3-J50-pH8.bam","Low"
"46","adapter_trim.F3-J5-pH8.bam","Low"
"47","adapter_trim.F3-J6-pH8.bam","Low"
"48","adapter_trim.F3-J7-pH8.bam","Low"
"49","adapter_trim.F3-J8-pH8.bam","Low"
"50","adapter_trim.F3-J9-pH8.bam","Low"
"51","adapter_trim.F3-J100-pH75.bam","Moderate"
"52","adapter_trim.F3-J101-pH75.bam","Moderate"
"53","adapter_trim.F3-J102-pH75.bam","Moderate"
"54","adapter_trim.F3-J104-pH75.bam","Moderate"
"55","adapter_trim.F3-J105-pH75.bam","Moderate"
"56","adapter_trim.F3-J106-pH75.bam","Moderate"
"57","adapter_trim.F3-J107-pH75.bam","Moderate"
"58","adapter_trim.F3-J108-pH75.bam","Moderate"
"59","adapter_trim.F3-J109-pH75.bam","Moderate"
"60","adapter_trim.F3-J110-pH75.bam","Moderate"
"61","adapter_trim.F3-J111-pH75.bam","Moderate"
"62","adapter_trim.F3-J112-pH75.bam","Moderate"
"63","adapter_trim.F3-J113-pH75.bam","Moderate"
"64","adapter_trim.F3-J114-pH75.bam","Moderate"
"65","adapter_trim.F3-J115-pH75.bam","Moderate"
"66","adapter_trim.F3-J116-pH75.bam","Moderate"
"67","adapter_trim.F3-J117-pH75.bam","Moderate"
"68","adapter_trim.F3-J118-pH75.bam","Moderate"
"69","adapter_trim.F3-J119-pH75.bam","Moderate"
"70","adapter_trim.F3-J120-pH75.bam","Moderate"
"71","adapter_trim.F3-J121-pH75.bam","Moderate"
"72","adapter_trim.F3-J122-pH75.bam","Moderate"
"73","adapter_trim.F3-J123-pH75.bam","Moderate"
"74","adapter_trim.F3-J124-pH75.bam","Moderate"
"75","adapter_trim.F3-J125-pH75.bam","Moderate"
"76","adapter_trim.F3-J126-pH75.bam","Moderate"
"77","adapter_trim.F3-J127-pH75.bam","Moderate"
"78","adapter_trim.F3-J128-pH75.bam","Moderate"
"79","adapter_trim.F3-J129-pH75.bam","Moderate"
"80","adapter_trim.F3-J130-pH75.bam","Moderate"
"81","adapter_trim.F3-J131-pH75.bam","Moderate"
"82","adapter_trim.F3-J132-pH75.bam","Moderate"
"83","adapter_trim.F3-J133-pH75.bam","Moderate"
"84","adapter_trim.F3-J134-pH75.bam","Moderate"
"85","adapter_trim.F3-J135-pH75.bam","Moderate"
"86","adapter_trim.F3-J136-pH75.bam","Moderate"
"87","adapter_trim.F3-J137-pH75.bam","Moderate"
"88","adapter_trim.F3-J138-pH75.bam","Moderate"
"89","adapter_trim.F3-J139-pH75.bam","Moderate"
"90","adapter_trim.F3-J140-pH75.bam","Moderate"
"91","adapter_trim.F3-J141-pH75.bam","Moderate"
"92","adapter_trim.F3-J142-pH75.bam","Moderate"
"93","adapter_trim.F3-J143-pH75.bam","Moderate"
"94","adapter_trim.F3-J144-pH75.bam","Moderate"
"95","adapter_trim.F3-J145-pH75.bam","Moderate"
"96","adapter_trim.F3-J146-pH75.bam","Moderate"
"97","adapter_trim.F3-J147-pH75.bam","Moderate"
"98","adapter_trim.F3-J148-pH75.bam","Moderate"
"99","adapter_trim.F3-J149-pH75.bam","Moderate"
"100","adapter_trim.F3-J98-pH75.bam","Moderate"
"101","adapter_trim.F3-J99-pH75.bam","Moderate"
"102","adapter_trim.F3-J51-pH7.bam","High"
"103","adapter_trim.F3-J52-pH7.bam","High"
"104","adapter_trim.F3-J53-pH7.bam","High"
"105","adapter_trim.F3-J54-pH7.bam","High"
"106","adapter_trim.F3-J55-pH7.bam","High"
"107","adapter_trim.F3-J56-pH7.bam","High"
"108","adapter_trim.F3-J57-pH7.bam","High"
"109","adapter_trim.F3-J59-pH7.bam","High"
"110","adapter_trim.F3-J60-pH7.bam","High"
"111","adapter_trim.F3-J61-pH7.bam","High"
"112","adapter_trim.F3-J62-pH7.bam","High"
"113","adapter_trim.F3-J63-pH7.bam","High"
"114","adapter_trim.F3-J64-pH7.bam","High"
"115","adapter_trim.F3-J65-pH7.bam","High"
"116","adapter_trim.F3-J66-pH7.bam","High"
"117","adapter_trim.F3-J67-pH7.bam","High"
"118","adapter_trim.F3-J68-pH7.bam","High"
"119","adapter_trim.F3-J69-pH7.bam","High"
"120","adapter_trim.F3-J70-pH7.bam","High"
"121","adapter_trim.F3-J71-pH7.bam","High"
"122","adapter_trim.F3-J72-pH7.bam","High"
"123","adapter_trim.F3-J73-pH7.bam","High"
"124","adapter_trim.F3-J74-pH7.bam","High"
"125","adapter_trim.F3-J75-pH7.bam","High"
"126","adapter_trim.F3-J76-pH7.bam","High"
"127","adapter_trim.F3-J77-pH7.bam","High"
"128","adapter_trim.F3-J78-pH7.bam","High"
"129","adapter_trim.F3-J79-pH7.bam","High"
"130","adapter_trim.F3-J80-pH7.bam","High"
"131","adapter_trim.F3-J81-pH7.bam","High"
"132","adapter_trim.F3-J82-pH7.bam","High"
"133","adapter_trim.F3-J83-pH7.bam","High"
"134","adapter_trim.F3-J84-pH7.bam","High"
"135","adapter_trim.F3-J85-pH7.bam","High"
"136","adapter_trim.F3-J86-pH7.bam","High"
"137","adapter_trim.F3-J87-pH7.bam","High"
"138","adapter_trim.F3-J88-pH7.bam","High"
"139","adapter_trim.F3-J89-pH7.bam","High"
"140","adapter_trim.F3-J90-pH7.bam","High"
"141","adapter_trim.F3-J91-pH7.bam","High"
"142","adapter_trim.F3-J92-pH7.bam","High"
"143","adapter_trim.F3-J93-pH7.bam","High"
"144","adapter_trim.F3-J94-pH7.bam","High"
"145","adapter_trim.F3-J95-pH7.bam","High"
"146","adapter_trim.F3-J96-pH7.bam","High"
"147","adapter_trim.F3-J97-pH7.bam","High"
