"","Individual","Treatment"
"1","adapter_trim.101.bam","Low"
"2","adapter_trim.103.bam","Low"
"3","adapter_trim.104.bam","Low"
"4","adapter_trim.153.bam","Low"
"5","adapter_trim.154.bam","Low"
"6","adapter_trim.155.bam","Low"
"7","adapter_trim.3.bam","Low"
"8","adapter_trim.4.bam","Low"
"9","adapter_trim.5.bam","Low"
"10","adapter_trim.F1-J105-pH8.bam","Low"
"11","adapter_trim.F1-J106-pH8.bam","Low"
"12","adapter_trim.F1-J110-pH8.bam","Low"
"13","adapter_trim.F1-J111-pH8.bam","Low"
"14","adapter_trim.F1-J112-pH8.bam","Low"
"15","adapter_trim.F1-J113-pH8.bam","Low"
"16","adapter_trim.F1-J114-pH8.bam","Low"
"17","adapter_trim.F1-J12-pH8.bam","Low"
"18","adapter_trim.F1-J13-pH8.bam","Low"
"19","adapter_trim.F1-J14-pH8.bam","Low"
"20","adapter_trim.F1-J157-pH8.bam","Low"
"21","adapter_trim.F1-J158-pH8.bam","Low"
"22","adapter_trim.F1-J160-pH8.bam","Low"
"23","adapter_trim.F1-J161-pH8.bam","Low"
"24","adapter_trim.F1-J162-pH8.bam","Low"
"25","adapter_trim.F1-J163-pH8.bam","Low"
"26","adapter_trim.F1-J164-pH8.bam","Low"
"27","adapter_trim.F1-J16-pH8.bam","Low"
"28","adapter_trim.F1-J17-pH8.bam","Low"
"29","adapter_trim.F1-J18-pH8.bam","Low"
"30","adapter_trim.F1-J65-pH8.bam","Low"
"31","adapter_trim.F1-J66-pH8.bam","Low"
"32","adapter_trim.F1-J67-pH8.bam","Low"
"33","adapter_trim.F1-J68-pH8.bam","Low"
"34","adapter_trim.F1-J69-pH8.bam","Low"
"35","adapter_trim.F1-J6-pH8.bam","Low"
"36","adapter_trim.F1-J70-pH8.bam","Low"
"37","adapter_trim.F1-J71-pH8.bam","Low"
"38","adapter_trim.201.bam","Moderate"
"39","adapter_trim.203.bam","Moderate"
"40","adapter_trim.204.bam","Moderate"
"41","adapter_trim.251.bam","Moderate"
"42","adapter_trim.253.bam","Moderate"
"43","adapter_trim.254.bam","Moderate"
"44","adapter_trim.301.bam","Moderate"
"45","adapter_trim.303.bam","Moderate"
"46","adapter_trim.304.bam","Moderate"
"47","adapter_trim.351.bam","Moderate"
"48","adapter_trim.352.bam","Moderate"
"49","adapter_trim.353.bam","Moderate"
"50","adapter_trim.F1-J205-pH75.bam","Moderate"
"51","adapter_trim.F1-J206-pH75.bam","Moderate"
"52","adapter_trim.F1-J207-pH75.bam","Moderate"
"53","adapter_trim.F1-J209-pH75.bam","Moderate"
"54","adapter_trim.F1-J210-pH75.bam","Moderate"
"55","adapter_trim.F1-J211-pH75.bam","Moderate"
"56","adapter_trim.F1-J212-pH75.bam","Moderate"
"57","adapter_trim.F1-J255-pH75.bam","Moderate"
"58","adapter_trim.F1-J256-pH75.bam","Moderate"
"59","adapter_trim.F1-J258-pH75.bam","Moderate"
"60","adapter_trim.F1-J259-pH75.bam","Moderate"
"61","adapter_trim.F1-J261-pH75.bam","Moderate"
"62","adapter_trim.F1-J262-pH75.bam","Moderate"
"63","adapter_trim.F1-J263-pH75.bam","Moderate"
"64","adapter_trim.F1-J264-pH75.bam","Moderate"
"65","adapter_trim.F1-J306-pH75.bam","Moderate"
"66","adapter_trim.F1-J307-pH75.bam","Moderate"
"67","adapter_trim.F1-J308-pH75.bam","Moderate"
"68","adapter_trim.F1-J311-pH75.bam","Moderate"
"69","adapter_trim.F1-J312-pH75.bam","Moderate"
"70","adapter_trim.F1-J313-pH75.bam","Moderate"
"71","adapter_trim.F1-J314-pH75.bam","Moderate"
"72","adapter_trim.F1-J354-pH75.bam","Moderate"
"73","adapter_trim.F1-J355-pH75.bam","Moderate"
"74","adapter_trim.F1-J356-pH75.bam","Moderate"
"75","adapter_trim.F1-J361-pH75.bam","Moderate"
"76","adapter_trim.F1-J362-pH75.bam","Moderate"
"77","adapter_trim.F1-J363-pH75.bam","Moderate"
"78","adapter_trim.F1-J364-pH75.bam","Moderate"
"79","adapter_trim.F1-J372-pH75.bam","Moderate"
