Generation,Age,Parental_OA,treatment,Rep,ID,Length
2,2,LOW,Low OA,A,1,104.70
2,2,LOW,Low OA,B,2,100.10
2,2,LOW,Low OA,C,3,104.50
2,2,MODERATE,Moderate OA,A,10,104.10
2,2,MODERATE,Moderate OA,B,11,99.20
2,2,MODERATE,Moderate OA,C,12,99.60
2,4,LOW,Low OA,A,1,111.20
2,4,LOW,Low OA,B,2,109.30
2,4,LOW,Low OA,C,3,109.60
2,4,MODERATE,Moderate OA,A,10,108.30
2,4,MODERATE,Moderate OA,B,11,107.10
2,4,MODERATE,Moderate OA,C,12,106.20
2,6,LOW,Low OA,A,1,129.80
2,6,LOW,Low OA,B,2,133.00
2,6,LOW,Low OA,C,3,129.80
2,6,MODERATE,Moderate OA,A,10,128.30
2,6,MODERATE,Moderate OA,B,11,127.90
2,6,MODERATE,Moderate OA,C,12,124.70
2,8,LOW,Low OA,A,1,139.30
2,8,LOW,Low OA,B,2,144.40
2,8,LOW,Low OA,C,3,147.90
2,8,MODERATE,Moderate OA,A,10,142.00
2,8,MODERATE,Moderate OA,B,11,143.30
2,8,MODERATE,Moderate OA,C,12,139.20
2,10,LOW,Low OA,A,1,165.40
2,10,LOW,Low OA,B,2,168.90
2,10,LOW,Low OA,C,3,177.50
2,10,MODERATE,Moderate OA,A,10,169.10
2,10,MODERATE,Moderate OA,B,11,167.60
2,10,MODERATE,Moderate OA,C,12,149.40
2,12,LOW,Low OA,A,1,181.60
2,12,LOW,Low OA,B,2,187.70
2,12,LOW,Low OA,C,3,188.80
2,12,MODERATE,Moderate OA,A,10,175.20
2,12,MODERATE,Moderate OA,B,11,173.30
2,12,MODERATE,Moderate OA,C,12,176.70
2,14,LOW,Low OA,A,1,201.10
2,14,LOW,Low OA,B,2,206.60
2,14,LOW,Low OA,C,3,203.10
2,14,MODERATE,Moderate OA,A,10,194.60
2,14,MODERATE,Moderate OA,B,11,194.80
2,14,MODERATE,Moderate OA,C,12,198.30
2,21,LOW,Low OA,A,1,350.60
2,21,LOW,Low OA,B,2,349.70
2,21,LOW,Low OA,C,3,315.10
2,21,MODERATE,Moderate OA,A,10,320.60
2,21,MODERATE,Moderate OA,B,11,267.20
2,21,MODERATE,Moderate OA,C,12,317.70
1,2,WILD,Low OA,A,1,96.86
1,2,WILD,Low OA,B,2,99.88
1,2,WILD,Low OA,C,3,96.08
1,2,WILD,Low OA,D,4,96.11
1,2,WILD,Low OA,E,5,95.13
1,2,WILD,Moderate OA,B,7,95.28
1,2,WILD,Moderate OA,C,8,95.40
1,2,WILD,Moderate OA,D,9,93.87
1,2,WILD,Moderate OA,E,10,93.94
1,2,WILD,High OA,A,11,68.86
1,2,WILD,High OA,B,12,70.30
1,2,WILD,High OA,C,13,66.45
1,2,WILD,High OA,D,14,76.81
1,4,WILD,Low OA,A,1,107.06
1,4,WILD,Low OA,B,2,110.54
1,4,WILD,Low OA,C,3,106.23
1,4,WILD,Low OA,D,4,107.49
1,4,WILD,Low OA,E,5,107.78
1,4,WILD,Moderate OA,B,7,106.24
1,4,WILD,Moderate OA,C,8,103.19
1,4,WILD,Moderate OA,D,9,102.34
1,4,WILD,Moderate OA,E,10,102.42
1,4,WILD,High OA,A,11,83.00
1,4,WILD,High OA,B,12,79.70
1,4,WILD,High OA,C,13,69.58
1,4,WILD,High OA,D,14,78.50
1,8,WILD,Low OA,A,1,181.13
1,8,WILD,Low OA,B,2,166.50
1,8,WILD,Low OA,C,3,161.25
1,8,WILD,Low OA,D,4,159.13
1,8,WILD,Low OA,E,5,153.31
1,8,WILD,Moderate OA,A,6,146.08
1,8,WILD,Moderate OA,B,7,162.35
1,8,WILD,Moderate OA,C,8,165.43
1,8,WILD,Moderate OA,D,9,156.14
1,8,WILD,Moderate OA,E,10,158.59
1,8,WILD,High OA,A,11,110.00
1,8,WILD,High OA,B,12,83.44
1,8,WILD,High OA,C,13,113.75
1,8,WILD,High OA,D,14,90.58
1,8,WILD,High OA,E,15,93.36
1,10,WILD,Low OA,A,1,193.76
1,10,WILD,Low OA,B,2,174.93
1,10,WILD,Low OA,C,3,181.32
1,10,WILD,Low OA,D,4,177.87
1,10,WILD,Low OA,E,5,183.72
1,10,WILD,Moderate OA,A,6,156.64
1,10,WILD,Moderate OA,B,7,177.28
1,10,WILD,Moderate OA,C,8,178.12
1,10,WILD,Moderate OA,D,9,168.02
1,10,WILD,Moderate OA,E,10,166.61
1,10,WILD,High OA,A,11,136.91
1,10,WILD,High OA,B,12,95.91
1,10,WILD,High OA,C,13,121.27
1,10,WILD,High OA,D,14,90.14
1,10,WILD,High OA,E,15,80.38
1,14,WILD,Low OA,A,1,318.43
1,14,WILD,Low OA,B,2,338.52
1,14,WILD,Low OA,C,3,298.22
1,14,WILD,Low OA,D,4,343.28
1,14,WILD,Low OA,E,5,279.22
1,14,WILD,Moderate OA,A,6,272.64
1,14,WILD,Moderate OA,B,7,284.98
1,14,WILD,Moderate OA,C,8,351.71
1,14,WILD,Moderate OA,D,9,276.39
1,14,WILD,Moderate OA,E,10,298.18
1,14,WILD,High OA,A,11,200.48
1,14,WILD,High OA,B,12,233.26
1,14,WILD,High OA,C,13,192.52
1,14,WILD,High OA,D,14,161.11
1,14,WILD,High OA,E,15,206.54
1,18,WILD,Low OA,A,1,528.73
1,18,WILD,Low OA,B,2,584.18
1,18,WILD,Low OA,C,3,513.17
1,18,WILD,Low OA,D,4,557.09
1,18,WILD,Low OA,E,5,556.62
1,18,WILD,Moderate OA,A,6,533.34
1,18,WILD,Moderate OA,B,7,539.39
1,18,WILD,Moderate OA,C,8,582.50
1,18,WILD,Moderate OA,D,9,595.27
1,18,WILD,Moderate OA,E,10,493.50
1,18,WILD,High OA,A,11,472.62
1,18,WILD,High OA,B,12,384.06
