Parental_OA,Exposure_OA,treatment,Generation,Tank,Tank_Number,Date,Age,Count,proportion,Percent_Survival
LOW,LOW,Low OA,2,A,1,8/18/2022,2,"60,667",1.00,100
LOW,LOW,Low OA,2,B,2,8/18/2022,2,"40,133",1.00,100
LOW,LOW,Low OA,2,C,3,8/18/2022,2,"49,200",1.00,100
MODERATE,MODERATE,Moderate OA,2,A,10,8/18/2022,2,"63,600",1.00,100
MODERATE,MODERATE,Moderate OA,2,B,11,8/18/2022,2,"64,000",1.00,100
MODERATE,MODERATE,Moderate OA,2,C,12,8/18/2022,2,"74,200",1.00,100
LOW,LOW,Low OA,2,A,1,8/22/2022,6,"16,800",0.28,28
LOW,LOW,Low OA,2,B,2,8/22/2022,6,"11,250",0.28,28
LOW,LOW,Low OA,2,C,3,8/22/2022,6,"17,400",0.35,35
MODERATE,MODERATE,Moderate OA,2,A,10,8/22/2022,6,"37,200",0.58,58
MODERATE,MODERATE,Moderate OA,2,B,11,8/22/2022,6,"30,000",0.47,47
MODERATE,MODERATE,Moderate OA,2,C,12,8/22/2022,6,"26,600",0.36,36
LOW,LOW,Low OA,2,A,1,8/24/2022,8,"12,333",0.20,20
LOW,LOW,Low OA,2,B,2,8/24/2022,8,"5,867",0.15,15
LOW,LOW,Low OA,2,C,3,8/24/2022,8,"13,770",0.28,28
MODERATE,MODERATE,Moderate OA,2,A,10,8/24/2022,8,"18,000",0.28,28
MODERATE,MODERATE,Moderate OA,2,B,11,8/24/2022,8,"25,250",0.39,39
MODERATE,MODERATE,Moderate OA,2,C,12,8/24/2022,8,"19,000",0.26,26
LOW,LOW,Low OA,2,A,1,8/26/2022,10,"5,800",0.10,10
LOW,LOW,Low OA,2,B,2,8/26/2022,10,"3,200",0.08,8
LOW,LOW,Low OA,2,C,3,8/26/2022,10,"6,000",0.12,12
MODERATE,MODERATE,Moderate OA,2,A,10,8/26/2022,10,"17,200",0.27,27
MODERATE,MODERATE,Moderate OA,2,B,11,8/26/2022,10,"17,000",0.27,27
MODERATE,MODERATE,Moderate OA,2,C,12,8/26/2022,10,"15,000",0.20,20
LOW,LOW,Low OA,2,A,1,8/30/2022,14,"2,400",0.04,4
LOW,LOW,Low OA,2,B,2,8/30/2022,14,"1,333",0.03,3
LOW,LOW,Low OA,2,C,3,8/30/2022,14,"6,000",0.12,12
MODERATE,MODERATE,Moderate OA,2,A,10,8/30/2022,14,"11,167",0.18,18
MODERATE,MODERATE,Moderate OA,2,B,11,8/30/2022,14,"9,000",0.14,14
MODERATE,MODERATE,Moderate OA,2,C,12,8/30/2022,14,"12,000",0.16,16
LOW,LOW,Low OA,2,A,1,9/6/2022,21,"1,139.00",0.02,2
LOW,LOW,Low OA,2,B,2,9/6/2022,21,"2,208.00",0.06,6
LOW,LOW,Low OA,2,C,3,9/6/2022,21,700,0.01,1
MODERATE,MODERATE,Moderate OA,2,A,10,9/6/2022,21,600,0.01,1
MODERATE,MODERATE,Moderate OA,2,B,11,9/6/2022,21,399,0.01,1
MODERATE,MODERATE,Moderate OA,2,C,12,9/6/2022,21,348,0.00,0
WILD,LOW,Low OA,1,A,1,7/28/2021,2,91250,0.38,38
WILD,LOW,Low OA,1,B,2,7/28/2021,2,64375,0.27,27
WILD,LOW,Low OA,1,C,3,7/28/2021,2,75625,0.32,32
WILD,LOW,Low OA,1,D,4,7/28/2021,2,79375,0.33,33
WILD,LOW,Low OA,1,E,5,7/28/2021,2,76875,0.32,32
WILD,MODERATE,Moderate OA,1,A,6,7/28/2021,2,50000,0.21,21
WILD,MODERATE,Moderate OA,1,B,7,7/28/2021,2,55000,0.23,23
WILD,MODERATE,Moderate OA,1,C,8,7/28/2021,2,45625,0.19,19
WILD,MODERATE,Moderate OA,1,D,9,7/28/2021,2,55625,0.23,23
WILD,MODERATE,Moderate OA,1,E,10,7/28/2021,2,60000,0.22,22
WILD,HIGH,High OA,1,A,11,7/28/2021,2,35000,0.15,15
WILD,HIGH,High OA,1,B,12,7/28/2021,2,28125,0.12,12
WILD,HIGH,High OA,1,C,13,7/28/2021,2,25000,0.10,10
WILD,HIGH,High OA,1,D,14,7/28/2021,2,16875,0.07,7
WILD,HIGH,High OA,1,E,15,7/28/2021,2,22500,0.09,9
WILD,LOW,Low OA,1,A,1,7/30/2021,4,58667,0.07,7.08557
WILD,LOW,Low OA,1,B,2,7/30/2021,4,61500,0.09,9.44743
WILD,LOW,Low OA,1,C,3,7/30/2021,4,48000,0.20,20.15452
WILD,LOW,Low OA,1,D,4,7/30/2021,4,51500,0.22,21.62412
WILD,LOW,Low OA,1,E,5,7/30/2021,4,56500,0.24,23.72355
WILD,MODERATE,Moderate OA,1,A,6,7/30/2021,4,50000,0.21,20.99429
WILD,MODERATE,Moderate OA,1,B,7,7/30/2021,4,38500,0.16,16.1656
WILD,MODERATE,Moderate OA,1,C,8,7/30/2021,4,35333,0.15,14.83596
WILD,MODERATE,Moderate OA,1,D,9,7/30/2021,4,41500,0.17,17.42526
WILD,MODERATE,Moderate OA,1,E,10,7/30/2021,4,50500,0.19,18.68848
WILD,HIGH,High OA,1,A,11,7/30/2021,4,14500,0.06,6.08834
WILD,HIGH,High OA,1,B,12,7/30/2021,4,12500,0.05,5.24857
WILD,HIGH,High OA,1,C,13,7/30/2021,4,12000,0.05,5.03863
WILD,HIGH,High OA,1,D,14,7/30/2021,4,7000,0.03,2.9392
WILD,HIGH,High OA,1,E,15,7/30/2021,4,11000,0.05,4.61874
WILD,LOW,Low OA,1,A,1,8/3/2021,8,34500,0.14,14.48606
WILD,LOW,Low OA,1,B,2,8/3/2021,8,43000,0.18,18.05509
WILD,LOW,Low OA,1,C,3,8/3/2021,8,20500,0.09,8.60766
WILD,LOW,Low OA,1,D,4,8/3/2021,8,31000,0.13,13.01646
WILD,LOW,Low OA,1,E,5,8/3/2021,8,26000,0.11,10.91703
WILD,MODERATE,Moderate OA,1,A,6,8/3/2021,8,20000,0.08,8.39772
WILD,MODERATE,Moderate OA,1,B,7,8/3/2021,8,26000,0.11,10.91703
WILD,MODERATE,Moderate OA,1,C,8,8/3/2021,8,26500,0.11,11.12697
WILD,MODERATE,Moderate OA,1,D,9,8/3/2021,8,25000,0.10,10.49714
WILD,MODERATE,Moderate OA,1,E,10,8/3/2021,8,22500,0.08,8.32655
WILD,HIGH,High OA,1,A,11,8/3/2021,8,5500,0.02,2.30937
WILD,HIGH,High OA,1,B,12,8/3/2021,8,3733,0.02,1.56757
WILD,HIGH,High OA,1,C,13,8/3/2021,8,1867,0.01,0.78379
WILD,HIGH,High OA,1,D,14,8/3/2021,8,3200,0.01,1.34363
WILD,HIGH,High OA,1,E,15,8/3/2021,8,10667,0.04,4.47878
WILD,LOW,Low OA,1,A,1,8/5/2021,10,20600,0.09,8.64965
WILD,LOW,Low OA,1,B,2,8/5/2021,10,23960,0.10,10.06046
WILD,LOW,Low OA,1,C,3,8/5/2021,10,16000,0.07,6.71817
WILD,LOW,Low OA,1,D,4,8/5/2021,10,23000,0.10,9.65737
WILD,LOW,Low OA,1,E,5,8/5/2021,10,27500,0.12,11.54686
WILD,MODERATE,Moderate OA,1,A,6,8/5/2021,10,16500,0.07,6.92812
WILD,MODERATE,Moderate OA,1,B,7,8/5/2021,10,16500,0.07,6.92812
WILD,MODERATE,Moderate OA,1,C,8,8/5/2021,10,19000,0.08,7.97783
WILD,MODERATE,Moderate OA,1,D,9,8/5/2021,10,19500,0.08,8.18777
WILD,MODERATE,Moderate OA,1,E,10,8/5/2021,10,19500,0.07,7.21634
WILD,HIGH,High OA,1,A,11,8/5/2021,10,1800,0.01,0.75579
WILD,HIGH,High OA,1,B,12,8/5/2021,10,1000,0.00,0.41989
WILD,HIGH,High OA,1,C,13,8/5/2021,10,800,0.00,0.33591
WILD,HIGH,High OA,1,D,14,8/5/2021,10,200,0.00,0.08398
WILD,HIGH,High OA,1,E,15,8/5/2021,10,500,0.00,0.20994
WILD,LOW,Low OA,1,A,1,8/9/2021,14,21077,0.09,8.84979
WILD,LOW,Low OA,1,B,2,8/9/2021,14,21000,0.09,8.8176
WILD,LOW,Low OA,1,C,3,8/9/2021,14,14567,0.06,6.11634
WILD,LOW,Low OA,1,D,4,8/9/2021,14,15400,0.06,6.46624
WILD,LOW,Low OA,1,E,5,8/9/2021,14,24725,0.10,10.38168
WILD,MODERATE,Moderate OA,1,A,6,8/9/2021,14,19067,0.08,8.00582
WILD,MODERATE,Moderate OA,1,B,7,8/9/2021,14,17600,0.07,7.38999
WILD,MODERATE,Moderate OA,1,C,8,8/9/2021,14,28800,0.12,12.09271
WILD,MODERATE,Moderate OA,1,D,9,8/9/2021,14,15600,0.07,6.55022
WILD,MODERATE,Moderate OA,1,E,10,8/9/2021,14,2520,0.01,0.93257
WILD,HIGH,High OA,1,A,11,8/9/2021,14,61,0.00,0.026
WILD,HIGH,High OA,1,B,12,8/9/2021,14,8,0.00,0.003
WILD,HIGH,High OA,1,C,13,8/9/2021,14,4,0.00,0.002
WILD,HIGH,High OA,1,D,14,8/9/2021,14,6,0.00,0.003
WILD,HIGH,High OA,1,E,15,8/9/2021,14,3,0.00,0.001
WILD,LOW,Low OA,1,A,1,8/13/2021,18,6583,0.03,2.63333
WILD,LOW,Low OA,1,B,2,8/13/2021,18,4300,0.02,1.72
WILD,LOW,Low OA,1,C,3,8/13/2021,18,2200,0.01,0.88
