Parent,Treatment,Rep,ID,Generation,Year,Run ,Length,Survival ,Normal,Lethal.Deformities,dead,Percent.deformed,total individuals
LOW,Low OA,A,1,1,2021,2,96.86492308,37%,23,1,0,0.042,24
LOW,Low OA,B,2,1,2021,2,99.87604545,26%,28,2,6,0.067,36
LOW,Low OA,C,3,1,2021,2,96.0788125,30%,50,2,4,0.038,56
LOW,Low OA,D,4,1,2021,2,96.11265625,32%,55,5,5,0.083,65
LOW,Low OA,E,5,1,2021,2,95.12751429,31%,46,4,6,0.08,56
MODERATE,Moderate OA,A,6,1,2021,2,,20%,,,,,0
MODERATE,Moderate OA,B,7,1,2021,2,95.27536,22%,63,0,3,0,66
MODERATE,Moderate OA,C,8,1,2021,2,95.39796,18%,51,7,8,0.121,66
MODERATE,Moderate OA,D,9,1,2021,2,93.86782,22%,47,2,4,0.041,53
MODERATE,Moderate OA,E,10,1,2021,2,93.93840426,24%,45,0,4,0,49
HIGH,High OA,A,11,1,2021,2,68.86038889,14%,4,40,0,0.909,44
HIGH,High OA,B,12,1,2021,2,70.2973,11%,3,21,0,0.875,24
HIGH,High OA,C,13,1,2021,2,66.45377778,10%,2,17,1,0.895,20
HIGH,High OA,D,14,1,2021,2,76.81166667,7%,1,23,3,0.958,27
HIGH,High OA,E,15,1,2021,2,,9%,,,,,0
LOW,Low OA,A,1,1,2021,1,,,30,2,10,0.063,42
LOW,Low OA,B,2,1,2021,1,,,32,0,2,0,34
LOW,Low OA,C,3,1,2021,1,,,61,3,10,0.047,74
LOW,Low OA,D,4,1,2021,1,,,42,2,4,0.045,48
MODERATE,Moderate OA,A,5,1,2021,1,,,74,2,6,0.026,82
MODERATE,Moderate OA,B,6,1,2021,1,,,54,2,5,0.036,61
MODERATE,Moderate OA,C,7,1,2021,1,,,18,4,3,0.182,25
MODERATE,Moderate OA,D,8,1,2021,1,,,59,5,10,0.078,74
HIGH,High OA,A,9,1,2021,1,,,2,4,1,0.667,7
HIGH,High OA,B,10,1,2021,1,,,3,21,0,0.875,24
HIGH,High OA,C,11,1,2021,1,,,3,17,0,0.85,20
HIGH,High OA,D,12,1,2021,1,,,4,51,4,0.927,59
LOW,Low OA,A,1,2,2022,3,,,21,1,,0.045,22
LOW,Low OA,B,2,2,2022,3,,,27,4,,0.129,31
LOW,Low OA,C,3,2,2022,3,,,31,5,,0.139,36
MODERATE,Low OA,A,4,2,2022,3,,,8,5,,0.385,13
MODERATE,Low OA,B,5,2,2022,3,,,34,6,,0.15,40
MODERATE,Low OA,C,6,2,2022,3,,,18,2,,0.1,20
HIGH,Low OA,A,7,2,2022,3,,,13,3,,0.188,16
HIGH,Low OA,B,8,2,2022,3,,,23,5,,0.179,28
HIGH,Low OA,C,9,2,2022,3,,,22,4,,0.154,26
LOW,Moderate OA,A,10,2,2022,3,,,30,4,,0.118,34
