Tin #,Date Processed,Date of Sample,Project,pH,Temp,Rep,Tag,Shell Length,Shell Tin Weight (g), Tissue Tin Weight (g),Dry Shell +    Tin Weight (g),Dry Tissue + Tin Weight (g),Ashed Shell + Tin Weight (g),Ashed  Tissue + Tin Weight (g),Dry Shell (g),Dry Tissue (g),Organic Somatic,Gonad Index,Condition Index,,% organic,
1,7/5/2023,7/3/2023,Heatwave,7,28,B,none,52,1.2968,1.0899,11.4119,1.7312,,,10.1151,0.6413,,4,6.34,,#REF!,
2,7/5/2023,7/3/2023,,7,28,B,blue,55.92,1.3056,1.0936,17.3975,1.5604,,,16.0919,0.4668,,3 (not plump),2.9,,#REF!,
3,7/5/2023,7/3/2023,,7,28,B,black 30,47.8,1.2957,1.1169,8.894,1.5385,,,7.5983,0.4216,,4,5.55,,#REF!,
4,7/5/2023,7/3/2023,,7,28,B,black 23,47.09,1.2963,1.1017,7.7156,1.3788,,,6.4193,0.2771,,4,4.32,,#REF!,
5,7/5/2023,7/3/2023,,7,28,B,black,48,1.2914,1.1067,13.1275,1.7778,,,10.9669,0.6711,,4,6.12,,#REF!,
6,7/5/2023,7/3/2023,,8,28,C,none ,51.4,1.2961,1.0983,15.3855,1.803,,,14.0894,0.7047,,4,5,,#REF!,
7,7/5/2023,7/3/2023,,7,23,G,yellow,59.49,1.2886,1.1071,17.6047,2.0423,,,16.3161,0.9352,,4,5.73,,#REF!,
8,7/5/2023,7/3/2023,,8,28,C,blue and a bee tag,49.76,1.3013,1.1054,12.2583,1.8047,,,10.957,0.6993,,4,6.38,,#REF!,
9,7/5/2023,7/3/2023,,7,23,G,none,44,1.3029,1.0969,5.6333,1.3665,,,4.3304,0.2696,,4,6.23,,#REF!,
10,7/5/2023,7/3/2023,,8,28,C,none,59.9,1.2978,1.0955,17.9524,2.4337,,,16.6546,1.3382,,4,8.04,,#REF!,
11,7/5/2023,7/3/2023,,7,23,G,yellow,60,1.3032,1.1105,20.0577,2.3676,,,18.7545,1.2571,,4,6.7,,#REF!,
12,7/5/2023,7/3/2023,,7,23,G,27,53.5,1.31,1.0901,13.9795,2.0394,,,12.6695,0.9493,,4,7.49,,#REF!,
13,7/5/2023,7/3/2023,,8,28,C,bee tag,53.8,1.3022,1.086,12.7625,2.0302,,,11.4603,0.9442,,4,8.24,,#REF!,
14,7/5/2023,7/3/2023,,8,28,C,33,50,1.2943,1.0977,9.1871,1.4032,,,7.8928,0.3055,,4,3.87,,#REF!,
15,7/5/2023,7/3/2023,,7.5,28, C,green 27,52,1.2933,1.0966,11.6875,1.6708,,,10.3942,0.5742,,4,5.52,,#REF!,
16,7/5/2023,7/3/2023,,8,28,C,none,54.15,1.3016,1.1046,11.6093,1.9653,,,10.3077,0.8607,,4,8.35,,#REF!,
17,7/5/2023,7/3/2023,,7.5,28,C,green 17,46.14,1.2777,1.0925,11.0339,1.6797,,,9.7562,0.5872,,4,6.02,,,
18,7/5/2023,7/3/2023,,8,28,A,y tag,54,1.3056,1.1039,13.4201,1.9457,,,12.1145,0.8418,,4,6.95,,,
19,7/5/2023,7/3/2023,,7.5,28,C,black 14,44.22,1.2905,1.1057,6.509,1.4686,,,5.2185,0.3629,,4,6.95,,,
20,7/5/2023,7/3/2023,,8,28,A,black 50,44.15,1.2964,1.0959,15.7691,1.3396,,,14.4727,0.2437,,4,1.68,,,
21,7/5/2023,7/3/2023,,7,28,A,30,54,1.3092,1.1197,8.5261,1.5365,,,7.2169,0.4168,,4,5.78,,,
22,7/5/2023,7/3/2023,,7,28,A,none,57.15,1.2936,1.1193,17.4589,2.0831,,,16.1653,0.9638,,4,5.96,,,
23,7/5/2023,7/3/2023,,7,28,A,30,54,1.2976,1.0967,15.9822,2.0266,,,14.6846,0.9299,,4,6.33,,,
24,7/5/2023,7/3/2023,,8,28,A,none,54.09,1.309,1.1039,14.1854,1.8037,,,12.8764,0.6998,,4,5.43,,,
25,7/5/2023,7/3/2023,,7.5,28,A,black tag,57,1.2937,1.1155,13.8672,1.952,,,12.5735,0.8365,,4,6.65,,,
26,7/5/2023,7/3/2023,,7.5,28,C,none,51.2,1.2975,1.1055,12.8643,1.7183,,,11.5668,0.6128,,4,5.3,,,
