 ,Area,Mean,Min,Max,Angle,Length
1,1.540E-4,156.545,117.188,187.066,-89.833,0.162
2,1.486E-4,153.124,82.201,198.474,0.345,0.157
3,1.468E-4,131.052,71.583,180.083,0.000,0.155
4,1.602E-4,155.789,113.949,202.658,171.667,0.169
5,1.531E-4,121.137,44.346,162.336,23.045,0.161
