 ,Area,Mean,Min,Max,Angle,Length
1,1.477E-4,183.009,154.607,209.820,65.844,0.156
2,1.477E-4,173.365,144.333,209.330,56.648,0.155
3,1.557E-4,192.188,113.961,245.146,101.923,0.164
4,1.673E-4,181.784,124.481,220.550,12.180,0.177
5,1.620E-4,189.298,141.353,230.829,84.920,0.170
