 ,Area,Mean,Min,Max,Angle,Length
1,1.611E-4,185.500,102.699,228.153,146.869,0.170
2,1.557E-4,193.591,150.626,224.289,89.341,0.164
3,1.593E-4,188.781,129.486,216.367,96.447,0.168
4,1.557E-4,166.292,132.997,195.861,36.607,0.165
5,1.655E-4,188.850,136.799,224.823,108.141,0.174
