 ,Area,Mean,Min,Max,Angle,Length
1,1.540E-4,162.513,87.145,212.409,-11.092,0.162
2,1.646E-4,184.256,149.667,215.309,74.908,0.174
3,1.575E-4,182.184,111.136,238.101,115.547,0.166
4,1.638E-4,189.769,141.828,236.351,-13.618,0.172
5,1.424E-4,176.591,104.969,220.723,115.192,0.150
