site,species,ID,Timepoint,wetweight_g,pre_biovolume_mL,length_mm,width_mm,thickness_mm,
S,Ai,S06,pre-deployment,18.45,18.42,44.71,48.55,17.54,
S,Ai,S09,pre-deployment,21.56,17.85,45.76,49.99,17.91,
S,Ai,S15,pre-deployment,14.19,16.12,42.73,44.07,15.02,
S,Ai,S16,pre-deployment,21.17,21.73,46.67,49.19,19.59,
S,Ai,S19,pre-deployment,19.33,16.20,45.72,46.69,18.19,
T,Ai,T02,pre-deployment,20.48,16.80,45.86,48.95,18.55,
T,Ai,T03,pre-deployment,28.20,22.80,51.98,55.20,19.65,
T,Ai,T04,pre-deployment,35.01,24.88,55.46,59.84,22.27,
T,Ai,T05,pre-deployment,32.56,29.73,53.26,55.68,23.36,
T,Ai,T06,pre-deployment,30.18,23.55,53.63,58.07,21.45,
T,Ai,T07,pre-deployment,18.18,15.68,47.58,49.70,17.79,
T,Ai,T08,pre-deployment,16.62,16.61,44.55,45.28,17.95,
T,Ai,T09,pre-deployment,17.05,14.32,42.78,46.15,16.43,
T,Ai,T10,pre-deployment,25.35,19.68,47.92,52.29,20.60,
T,Ai,T11,pre-deployment,24.85,17.46,48.67,52.92,19.22,
T,Ai,T12,pre-deployment,26.46,24.28,50.76,54.92,19.25,
T,Ai,T14,pre-deployment,20.53,15.54,49.45,49.14,19.08,
T,Ai,T15,pre-deployment,20.40,19.34,48.52,52.36,19.01,
T,Ai,T16,pre-deployment,20.36,19.06,45.13,48.92,18.69,
T,Ai,T18,pre-deployment,20.93,15.65,44.34,49.25,17.82,
T,Ai,T19,pre-deployment,26.58,27.72,51.33,57.55,22.13,
T,Ai,T20,pre-deployment,19.61,13.53,48.20,47.72,17.47,
X,Ai,X01,pre-deployment,18.77,15.36,46.41,47.88,16.74,
X,Ai,X02,pre-deployment,19.30,16.13,43.16,48.14,20.27,
X,Ai,X03,pre-deployment,24.50,25.52,46.70,52.34,19.59,
X,Ai,X04,pre-deployment,24.75,18.94,49.46,54.56,20.09,
X,Ai,X05,pre-deployment,24.55,17.51,48.64,54.07,20.65,
X,Ai,X06,pre-deployment,19.03,19.94,43.79,48.47,17.79,
X,Ai,X07,pre-deployment,19.73,18.47,46.02,50.45,18.34,
X,Ai,X08,pre-deployment,19.60,16.72,46.13,48.36,17.42,
X,Ai,X09,pre-deployment,22.12,18.08,48.26,51.10,17.97,
X,Ai,X10,pre-deployment,16.09,15.13,45.19,47.69,15.63,
X,Ai,X11,pre-deployment,15.40,14.51,43.45,44.53,15.21,
X,Ai,X14,pre-deployment,18.40,19.08,47.53,50.72,18.67,
