site,species,ID,Timepoint,wetweight_g,pre_biovolume_mL,length_mm,width_mm,thickness_mm,
S,CvCP,STC09,pre-deployment,56.50,36.47,91.00,55.97,21.80,
S,CvCP,STC10,pre-deployment,58.79,36.64,78.92,68.09,18.92,
S,CvCP,STC11,pre-deployment,76.04,45.52,100.31,58.81,23.09,
S,CvCP,STC12,pre-deployment,59.64,37.83,85.08,65.49,20.80,
S,CvCP,STC14,pre-deployment,79.87,44.92,91.66,67.19,23.36,
S,CvCP,STC15,pre-deployment,53.93,32.97,73.09,60.18,20.81,
S,CvCP,STC17,pre-deployment,78.08,47.68,82.57,67.35,25.07,
S,CvCP,STC18,pre-deployment,51.83,31.68,80.62,53.48,20.10,
S,CvCP,STC19,pre-deployment,60.99,39.66,86.81,61.53,24.43,
S,CvCP,STC20,pre-deployment,64.16,39.70,88.90,61.66,22.90,
T,CvCP,TBC01,pre-deployment,47.14,31.54,74.43,61.59,20.53,
T,CvCP,TBC03,pre-deployment,55.35,35.14,78.12,61.27,19.57,
T,CvCP,TBC04,pre-deployment,42.38,26.70,79.50,58.25,18.79,
T,CvCP,TBC05,pre-deployment,53.83,33.21,84.54,58.15,20.41,
T,CvCP,TBC06,pre-deployment,73.63,44.71,94.60,55.00,22.99,
T,CvCP,TBC07,pre-deployment,56.31,34.73,80.36,79.83,22.64,
T,CvCP,TBC09,pre-deployment,45.52,29.03,75.26,66.49,20.93,
T,CvCP,TBC10,pre-deployment,58.83,39.39,83.20,67.96,22.24,
T,CvCP,TBC11,pre-deployment,61.04,36.53,90.58,62.61,21.75,
T,CvCP,TBC12,pre-deployment,55.77,32.52,76.70,56.01,20.49,
T,CvCP,TBC13,pre-deployment,59.73,38.28,81.17,68.54,22.63,
T,CvCP,TBC14,pre-deployment,60.38,39.81,90.41,49.40,23.36,
T,CvCP,TBC15,pre-deployment,52.62,32.27,77.43,63.24,20.16,
T,CvCP,TBC16,pre-deployment,56.99,34.72,84.10,55.65,23.90,
T,CvCP,TBC17,pre-deployment,59.11,35.25,78.67,62.56,24.50,
T,CvCP,TBC18,pre-deployment,65.06,42.98,86.17,66.69,23.02,
T,CvCP,TBC19,pre-deployment,57.45,36.76,82.43,67.05,19.04,
T,CvCP,TBC19,pre-deployment,54.44,33.12,92.86,55.13,21.70,
T,CvCP,TBC20,pre-deployment,73.68,44.36,92.05,69.96,25.23,
X,CvCP,XC01,pre-deployment,46.87,27.34,77.32,49.22,18.74,
X,CvCP,XC03,pre-deployment,47.31,27.53,71.24,54.49,22.11,
X,CvCP,XC05,pre-deployment,60.02,36.32,80.71,66.05,20.15,
X,CvCP,XC07,pre-deployment,46.80,29.80,79.75,59.29,16.71,
X,CvCP,XC09,pre-deployment,76.40,43.08,90.82,66.51,21.39,
X,CvCP,XC10,pre-deployment,48.32,30.54,78.41,55.49,22.84,
X,CvCP,XC12,pre-deployment,67.13,41.86,85.80,60.09,22.59,
X,CvCP,XC14,pre-deployment,60.39,46.39,90.11,58.65,26.21,
X,CvCP,XC15,pre-deployment,54.47,28.42,82.92,62.88,24.43,
X,CvCP,XC17,pre-deployment,66.89,38.79,86.97,61.40,23.37,
X,CvCP,XC18,pre-deployment,50.00,35.02,78.30,61.60,19.60,
X,CvCP,XC19,pre-deployment,47.86,29.70,79.92,61.77,19.51,
X,CvCP,XC20,pre-deployment,64.80,40.27,84.09,64.44,22.68,
F,Ai,F02,post-deployment,28.49,NA,53.70,57.60,21.30,
F,Ai,F03,post-deployment,29.27,NA,53.10,55.70,23.10,
F,Ai,F04,post-deployment,23.51,NA,54.00,56.60,20.60,
F,Ai,F05,post-deployment,31.15,NA,53.80,56.20,21.80,
F,Ai,F07,post-deployment,22.65,NA,50.34,54.34,19.23,
F,Ai,F08,post-deployment,NA,NA,57.43,62.48,24.11,
F,Ai,F09,post-deployment,NA,NA,56.11,58.11,20.95,
F,Ai,F10,post-deployment,19.24,NA,49.80,53.50,19.20,
F,Ai,F11,post-deployment,27.50,NA,51.70,53.68,18.82,
F,Ai,F12,post-deployment,27.53,NA,52.10,57.80,21.00,
F,Ai,F13,post-deployment,NA,NA,51.40,56.74,23.62,
F,Ai,F14,post-deployment,NA,NA,53.92,56.47,20.56,
F,Ai,F15,post-deployment,24.87,NA,49.27,48.56,21.49,
F,Ai,F18,post-deployment,25.03,NA,53.10,52.50,20.20,
F,Ai,F20,post-deployment,35.21,NA,55.30,57.90,22.60,
M,Ai,M01,post-deployment,31.47,NA,51.10,52.90,21.60,
M,Ai,M02,post-deployment,NA,NA,49.83,53.75,22.45,
M,Ai,M03,post-deployment,NA,NA,52.00,54.50,21.66,
M,Ai,M04,post-deployment,34.66,NA,56.20,60.51,21.91,
M,Ai,M05,post-deployment,20.63,NA,44.80,48.00,20.50,
M,Ai,M06,post-deployment,40.01,NA,57.70,61.70,22.60,
M,Ai,M07,post-deployment,22.61,NA,47.83,50.50,17.79,
M,Ai,M08,post-deployment,NA,NA,50.68,52.27,18.64,
M,Ai,M10,post-deployment,37.06,NA,57.20,60.80,21.60,
M,Ai,M11,post-deployment,30.05,NA,52.00,56.00,19.30,
M,Ai,M13,post-deployment,32.73,NA,49.05,51.86,22.27,
M,Ai,M14,post-deployment,28.70,NA,52.80,56.30,20.30,
M,Ai,M15,post-deployment,NA,NA,50.27,54.31,24.41,
M,Ai,M16,post-deployment,38.74,NA,57.06,59.59,20.93,
M,Ai,M17,post-deployment,23.15,NA,47.90,50.50,21.20,
M,Ai,M18,post-deployment,30.26,NA,52.20,57.40,20.10,
M,Ai,M20,post-deployment,30.84,NA,52.30,54.30,21.40,
N,Ai,N01,post-deployment,28.33,NA,49.10,50.30,22.00,
N,Ai,N03,post-deployment,26.15,NA,49.30,51.20,20.10,
N,Ai,N05,post-deployment,23.71,NA,51.60,55.90,21.10,
N,Ai,N08,post-deployment,35.26,NA,52.00,55.60,21.30,
N,Ai,N09,post-deployment,NA,NA,49.05,53.12,19.44,
N,Ai,N11,post-deployment,35.38,NA,55.10,57.00,22.70,
N,Ai,N12,post-deployment,37.17,NA,53.70,58.70,22.50,
N,Ai,N18,post-deployment,28.94,NA,48.40,51.60,21.40,
N,Ai,N20,post-deployment,21.75,NA,46.50,49.30,19.10,
B,Ai,O01,post-deployment,NA,NA,56.34,62.21,24.11,
B,Ai,O02,post-deployment,51.29,NA,60.73,64.84,23.45,
B,Ai,O03,post-deployment,26.18,NA,48.75,50.79,21.85,
B,Ai,O05,post-deployment,57.43,NA,59.31,63.70,26.99,
B,Ai,O06,post-deployment,NA,NA,49.77,51.48,20.66,
B,Ai,O07,post-deployment,37.23,NA,58.90,61.35,22.08,
B,Ai,O08,post-deployment,33.12,NA,52.42,54.39,23.46,
B,Ai,O09,post-deployment,31.82,NA,49.83,54.33,21.54,
B,Ai,O10,post-deployment,36.30,NA,50.94,56.41,23.19,
B,Ai,O11,post-deployment,22.80,NA,47.24,49.78,21.29,
B,Ai,O12,post-deployment,33.21,NA,51.75,54.30,19.65,
B,Ai,O13,post-deployment,25.45,NA,52.05,54.16,18.49,
B,Ai,O14,post-deployment,45.58,NA,57.59,58.05,24.44,
B,Ai,O15,post-deployment,NA,NA,61.42,68.49,24.72,
B,Ai,O16,post-deployment,NA,NA,56.15,61.97,25.94,
B,Ai,O18,post-deployment,32.68,NA,51.02,55.62,24.63,
B,Ai,O19,post-deployment,41.98,NA,53.68,53.76,57.74,
B,Ai,O20,post-deployment,36.52,NA,55.71,59.60,25.40,
P,Ai,P02,post-deployment,NA,NA,48.41,50.44,24.45,
P,Ai,P03,post-deployment,27.82,NA,54.09,58.09,21.07,
P,Ai,P05,post-deployment,21.98,NA,49.90,52.70,21.50,
P,Ai,P07,post-deployment,NA,NA,53.75,58.50,23.49,
P,Ai,P08,post-deployment,21.57,NA,49.13,54.73,19.46,
P,Ai,P09,post-deployment,NA,NA,46.92,45.95,19.37,
P,Ai,P13,post-deployment,33.09,NA,54.90,59.70,23.20,
P,Ai,P14,post-deployment,34.55,NA,51.70,57.20,25.40,
P,Ai,P16,post-deployment,NA,NA,55.03,57.23,25.85,
P,Ai,P17,post-deployment,37.35,NA,55.59,61.50,21.59,
P,Ai,P20,post-deployment,44.12,NA,57.58,58.72,22.49,
Q,Ai,Q02,post-deployment,41.61,NA,56.90,61.70,23.40,
Q,Ai,Q04,post-deployment,NA,NA,47.70,49.41,19.56,
Q,Ai,Q05,post-deployment,NA,NA,46.28,51.39,22.14,
Q,Ai,Q07,post-deployment,37.00,NA,53.70,54.70,22.00,
Q,Ai,Q09,post-deployment,31.62,NA,50.20,52.50,23.40,
Q,Ai,Q10,post-deployment,39.49,NA,56.10,60.10,22.80,
Q,Ai,Q11,post-deployment,30.82,NA,51.90,54.00,21.50,
Q,Ai,Q14,post-deployment,34.58,NA,56.50,58.30,22.30,
Q,Ai,Q15,post-deployment,23.25,NA,50.33,53.90,23.10,
Q,Ai,Q16,post-deployment,35.22,NA,56.20,58.30,23.10,
Q,Ai,Q17,post-deployment,26.82,NA,48.40,51.20,20.40,
Q,Ai,Q18,post-deployment,NA,NA,53.94,59.29,20.02,
Q,Ai,Q20,post-deployment,NA,NA,53.11,58.26,19.78,
S,Ai,S05,post-deployment,NA,NA,52.27,54.92,22.84,
S,Ai,S06,post-deployment,27.62,NA,49.90,54.53,20.21,
S,Ai,S09,post-deployment,NA,NA,50.25,53.20,21.41,
S,Ai,S15,post-deployment,NA,NA,46.21,47.87,17.12,
S,Ai,S16,post-deployment,NA,NA,49.69,50.90,21.55,
S,Ai,S19,post-deployment,23.39,NA,46.85,49.72,20.45,
T,Ai,T02,post-deployment,28.13,NA,52.13,54.40,21.62,
T,Ai,T03,post-deployment,35.84,NA,57.95,61.23,23.21,
T,Ai,T04,post-deployment,NA,NA,56.59,62.55,23.39,
T,Ai,T05,post-deployment,45.33,NA,55.18,58.35,26.55,
T,Ai,T06,post-deployment,39.20,NA,57.63,63.70,23.62,
T,Ai,T07,post-deployment,24.49,NA,49.63,54.84,21.03,
T,Ai,T08,post-deployment,24.33,NA,50.69,52.55,21.98,
T,Ai,T09,post-deployment,29.02,NA,49.71,53.60,20.97,
T,Ai,T10,post-deployment,24.42,NA,49.43,53.94,22.41,
T,Ai,T11,post-deployment,NA,NA,50.61,55.04,20.56,
T,Ai,T12,post-deployment,39.10,NA,58.54,62.70,24.43,
T,Ai,T14,post-deployment,NA,NA,49.95,54.54,21.23,
T,Ai,T15,post-deployment,29.64,NA,54.89,59.47,22.85,
T,Ai,T16,post-deployment,29.79,NA,50.89,55.13,21.88,
T,Ai,T18,post-deployment,NA,NA,49.06,54.56,19.69,
T,Ai,T19,post-deployment,37.41,NA,54.53,60.55,23.27,
T,Ai,T20,post-deployment,39.60,NA,58.55,59.07,22.46,
X,Ai,X01,post-deployment,NA,NA,46.94,48.03,17.95,
X,Ai,X02,post-deployment,NA,NA,43.55,48.23,21.71,
X,Ai,X03,post-deployment,27.99,NA,48.70,54.80,21.80,
X,Ai,X04,post-deployment,26.01,NA,49.90,55.20,22.00,
X,Ai,X05,post-deployment,26.14,NA,52.20,56.10,22.50,
X,Ai,X06,post-deployment,NA,NA,48.96,52.88,21.65,
X,Ai,X07,post-deployment,24.58,NA,50.20,53.80,20.50,
X,Ai,X08,post-deployment,NA,NA,47.92,49.63,20.02,
X,Ai,X09,post-deployment,21.93,NA,47.59,51.73,19.45,
X,Ai,X10,post-deployment,16.48,NA,47.40,48.20,17.80,
X,Ai,X11,post-deployment,NA,NA,45.90,46.14,16.67,
X,Ai,X14,post-deployment,24.56,NA,49.00,52.50,20.50,
X,Ai,X15,post-deployment,21.96,NA,43.39,46.49,19.65,
X,Ai,X16,post-deployment,27.13,NA,52.30,56.30,18.70,
X,Ai,X18,post-deployment,22.81,NA,47.62,50.40,17.48,
X,Ai,X19,post-deployment,25.81,NA,50.60,52.70,21.80,
X,Ai,X20,post-deployment,22.69,NA,48.30,52.10,20.60,
F,CvSH,F01,post-deployment,20.35,NA,58.30,39.50,16.90,
F,CvSH,F02,post-deployment,NA,NA,74.41,56.33,19.12,
F,CvSH,F03,post-deployment,NA,NA,68.01,49.47,20.27,
F,CvSH,F06,post-deployment,24.38,NA,58.10,51.70,17.30,
F,CvSH,F09,post-deployment,38.71,NA,66.17,54.45,14.20,
F,CvSH,F10,post-deployment,45.65,NA,68.30,56.60,20.30,
F,CvSH,F10,post-deployment,33.31,NA,75.46,48.95,17.68,
F,CvSH,F11,post-deployment,38.10,NA,65.60,48.90,22.30,
F,CvSH,F12,post-deployment,31.40,NA,70.56,50.02,15.60,
F,CvSH,F13,post-deployment,NA,NA,82.36,62.43,22.65,
F,CvSH,F14,post-deployment,18.58,NA,66.20,44.90,14.60,
F,CvSH,F15,post-deployment,NA,NA,77.72,51.98,21.61,
F,CvSH,F16,post-deployment,20.57,NA,63.00,42.40,17.00,
F,CvSH,F17,post-deployment,42.00,NA,81.50,48.00,23.30,
F,CvSH,F18,post-deployment,26.56,NA,68.50,43.10,17.40,
F,CvSH,F19,post-deployment,33.89,NA,69.71,47.57,21.07,
F,CvSH,F20,post-deployment,47.08,NA,79.70,65.50,21.00,
M,CvSH,M01,post-deployment,43.05,NA,63.60,55.61,21.40,
M,CvSH,M03,post-deployment,28.01,NA,77.90,39.30,16.70,
M,CvSH,M04,post-deployment,NA,NA,71.30,45.68,20.05,
M,CvSH,M05,post-deployment,45.30,NA,79.41,51.29,19.98,
M,CvSH,M07,post-deployment,49.47,NA,76.66,55.21,21.43,
M,CvSH,M08,post-deployment,32.55,NA,71.40,44.40,19.90,
M,CvSH,M09,post-deployment,32.32,NA,67.40,51.30,20.60,
M,CvSH,M10,post-deployment,45.15,NA,81.81,49.91,17.38,
M,CvSH,M11,post-deployment,40.26,NA,65.70,50.80,20.30,
M,CvSH,M12,post-deployment,NA,NA,68.75,46.87,18.82,
M,CvSH,M13,post-deployment,NA,NA,69.71,49.62,19.42,
M,CvSH,M14,post-deployment,32.51,NA,67.50,46.50,18.70,
M,CvSH,M15,post-deployment,NA,NA,71.42,40.68,18.54,
M,CvSH,M16,post-deployment,23.05,NA,71.60,36.50,15.50,
M,CvSH,M18,post-deployment,28.58,NA,68.80,53.00,18.30,
M,CvSH,M19,post-deployment,25.91,NA,53.78,47.70,18.32,
M,CvSH,M20,post-deployment,40.50,NA,70.10,52.60,20.10,
N,CvSH,N01,post-deployment,31.49,NA,71.20,51.00,17.20,
N,CvSH,N02,post-deployment,40.98,NA,80.14,53.20,17.10,
N,CvSH,N03,post-deployment,NA,NA,91.46,54.91,17.45,
N,CvSH,N04,post-deployment,61.48,NA,81.60,51.70,25.10,
N,CvSH,N10,post-deployment,NA,NA,77.05,50.48,19.34,
N,CvSH,N11,post-deployment,46.00,NA,75.90,55.30,21.70,
N,CvSH,N12,post-deployment,23.32,NA,69.60,37.90,14.50,
N,CvSH,N13,post-deployment,29.81,NA,70.30,50.80,15.70,
N,CvSH,N14,post-deployment,20.98,NA,58.79,45.30,13.07,
N,CvSH,N15,post-deployment,39.83,NA,78.75,48.97,18.22,
N,CvSH,N16,post-deployment,42.12,NA,72.62,51.00,17.63,
N,CvSH,N17,post-deployment,NA,NA,65.44,49.93,17.94,
N,CvSH,N18,post-deployment,32.32,NA,67.80,48.80,23.10,
N,CvSH,N19,post-deployment,NA,NA,72.21,49.89,16.79,
N,CvSH,N20,post-deployment,40.86,NA,72.40,57.40,20.20,
B,CvSH,O02,post-deployment,49.80,NA,78.60,45.26,19.26,
B,CvSH,O03,post-deployment,NA,NA,71.96,46.44,19.72,
B,CvSH,O04,post-deployment,NA,NA,74.66,47.02,18.68,
B,CvSH,O05,post-deployment,39.05,NA,62.30,45.00,21.30,
B,CvSH,O06,post-deployment,34.12,NA,61.90,48.90,16.60,
B,CvSH,O07,post-deployment,31.57,NA,64.12,47.47,18.14,
B,CvSH,O08,post-deployment,47.00,NA,80.10,54.50,22.10,
B,CvSH,O09,post-deployment,40.29,NA,66.70,49.20,20.40,
B,CvSH,O10,post-deployment,34.47,NA,61.38,45.76,21.47,
B,CvSH,O11,post-deployment,NA,NA,72.85,47.82,16.37,
B,CvSH,O12,post-deployment,50.00,NA,72.00,52.20,21.60,
B,CvSH,O13,post-deployment,52.63,NA,77.07,59.73,19.05,
B,CvSH,O14,post-deployment,70.40,NA,72.60,51.00,21.20,
B,CvSH,O15,post-deployment,62.75,NA,85.49,49.85,22.79,
B,CvSH,O16,post-deployment,NA,NA,61.58,49.31,19.35,
B,CvSH,O17,post-deployment,18.17,NA,53.30,40.50,15.10,
B,CvSH,O19,post-deployment,46.82,NA,70.76,54.90,21.59,
B,CvSH,O20,post-deployment,46.70,NA,78.40,43.50,18.00,
P,CvSH,P01,post-deployment,40.98,NA,77.40,52.50,18.00,
P,CvSH,P02,post-deployment,28.93,NA,62.90,43.90,17.20,
P,CvSH,P03,post-deployment,31.44,NA,65.00,52.40,18.20,
P,CvSH,P04,post-deployment,25.26,NA,59.40,44.50,17.60,
P,CvSH,P06,post-deployment,NA,NA,71.45,44.69,20.84,
P,CvSH,P07,post-deployment,41.08,NA,67.40,50.27,22.00,
P,CvSH,P08,post-deployment,38.11,NA,68.00,52.90,17.00,
P,CvSH,P09,post-deployment,37.15,NA,68.80,49.00,19.60,
P,CvSH,P11,post-deployment,31.00,NA,64.15,42.48,16.40,
P,CvSH,P12,post-deployment,31.35,NA,64.90,50.50,18.10,
P,CvSH,P13,post-deployment,NA,NA,67.69,53.08,22.04,
P,CvSH,P14,post-deployment,NA,NA,76.38,61.70,21.55,
P,CvSH,P15,post-deployment,NA,NA,66.37,47.06,17.16,
P,CvSH,P16,post-deployment,46.39,NA,69.30,57.90,19.70,
P,CvSH,P18,post-deployment,41.95,NA,71.75,58.01,17.64,
P,CvSH,P19,post-deployment,16.96,NA,57.00,34.62,14.71,
P,CvSH,P20,post-deployment,42.59,NA,69.99,44.80,18.93,
Q,CvSH,Q01,post-deployment,32.11,NA,64.80,48.30,15.80,
Q,CvSH,Q02,post-deployment,25.30,NA,65.20,39.80,16.40,
Q,CvSH,Q03,post-deployment,NA,NA,62.54,56.74,19.75,
Q,CvSH,Q04,post-deployment,37.56,NA,71.30,50.50,19.60,
Q,CvSH,Q05,post-deployment,29.07,NA,63.20,39.60,18.20,
Q,CvSH,Q08,post-deployment,25.09,NA,61.80,43.40,17.40,
Q,CvSH,Q09,post-deployment,NA,NA,74.81,49.40,17.06,
Q,CvSH,Q10,post-deployment,35.27,NA,62.50,50.60,18.60,
Q,CvSH,Q12,post-deployment,18.14,NA,55.30,36.20,13.80,
Q,CvSH,Q13,post-deployment,NA,NA,68.69,49.23,16.31,
Q,CvSH,Q16,post-deployment,35.70,NA,64.40,49.80,19.50,
Q,CvSH,Q17,post-deployment,33.81,NA,80.80,48.70,15.60,
Q,CvSH,Q18,post-deployment,28.01,NA,65.51,41.50,18.70,
Q,CvSH,Q19,post-deployment,NA,NA,70.46,43.95,16.11,
S,CvSH,S01,post-deployment,NA,NA,73.25,52.65,24.42,
S,CvSH,S05,post-deployment,39.61,NA,60.37,51.26,20.76,
S,CvSH,S07,post-deployment,22.29,NA,66.29,37.39,14.53,
S,CvSH,S09,post-deployment,34.25,NA,65.69,44.44,19.87,
S,CvSH,S10,post-deployment,NA,NA,66.44,52.06,17.16,
S,CvSH,S12,post-deployment,NA,NA,81.62,47.91,16.49,
S,CvSH,S14,post-deployment,NA,NA,70.25,49.91,20.66,
S,CvSH,S16,post-deployment,26.64,NA,60.41,44.23,15.32,
T,CvSH,T01,post-deployment,40.99,NA,68.65,54.86,17.19,
T,CvSH,T02,post-deployment,36.67,NA,69.63,55.00,17.91,
T,CvSH,T03,post-deployment,37.80,NA,64.23,54.17,20.34,
T,CvSH,T04,post-deployment,40.97,NA,66.80,67.20,19.00,
T,CvSH,T05,post-deployment,27.53,NA,70.00,43.00,16.80,
T,CvSH,T06,post-deployment,NA,NA,67.30,48.40,17.84,
T,CvSH,T07,post-deployment,41.27,NA,74.80,43.60,24.40,
T,CvSH,T08,post-deployment,35.69,NA,75.39,51.27,15.30,
T,CvSH,T10,post-deployment,25.95,NA,61.90,47.40,17.90,
T,CvSH,T11,post-deployment,NA,NA,72.61,57.83,20.38,
T,CvSH,T13,post-deployment,30.90,NA,71.57,45.88,18.28,
T,CvSH,T14,post-deployment,51.99,NA,83.80,48.90,21.50,
T,CvSH,T15,post-deployment,NA,NA,62.26,53.45,16.50,
T,CvSH,T16,post-deployment,57.00,NA,77.01,66.50,20.80,
T,CvSH,T17,post-deployment,NA,NA,78.91,48.86,21.22,
T,CvSH,T18,post-deployment,50.85,NA,71.48,64.45,17.84,
T,CvSH,T19,post-deployment,34.67,NA,68.90,54.30,17.20,
T,CvSH,T20,post-deployment,32.43,NA,59.90,52.30,18.90,
X,CvSH,X01,post-deployment,NA,NA,71.01,42.52,12.68,
X,CvSH,X03,post-deployment,24.50,NA,59.60,47.20,17.30,
X,CvSH,X04,post-deployment,NA,NA,71.07,55.20,23.47,
X,CvSH,X05,post-deployment,NA,NA,60.07,46.23,15.88,
X,CvSH,X07,post-deployment,28.80,NA,56.10,53.60,21.60,
X,CvSH,X08,post-deployment,26.38,NA,63.60,43.90,15.70,
X,CvSH,X09,post-deployment,30.50,NA,68.40,49.90,19.80,
X,CvSH,X11,post-deployment,27.26,NA,63.10,42.90,19.30,
X,CvSH,X13,post-deployment,NA,NA,61.20,48.67,19.77,
X,CvSH,X14,post-deployment,30.59,NA,65.90,50.70,17.60,
X,CvSH,X15,post-deployment,32.13,NA,57.00,52.20,19.20,
X,CvSH,X16,post-deployment,24.59,NA,63.40,42.70,17.00,
X,CvSH,X18,post-deployment,46.24,NA,76.50,52.80,23.20,
X,CvSH,X19,post-deployment,32.04,NA,63.60,49.70,19.20,
F,CvCP,FC01,post-deployment,NA,NA,91.00,73.40,24.95,
F,CvCP,FC03,post-deployment,60.51,NA,86.40,56.90,23.00,
F,CvCP,FC04,post-deployment,NA,NA,100.79,66.66,25.45,
F,CvCP,FC05,post-deployment,71.80,NA,95.01,58.30,22.40,
F,CvCP,FC07,post-deployment,73.08,NA,88.00,61.90,24.10,
F,CvCP,FC08,post-deployment,52.87,NA,78.93,57.70,18.11,
F,CvCP,FC09,post-deployment,39.22,NA,73.00,51.06,17.27,
F,CvCP,FC10,post-deployment,81.72,NA,86.45,63.26,22.64,
F,CvCP,FC12,post-deployment,60.29,NA,86.92,56.18,22.38,
F,CvCP,FC13,post-deployment,NA,NA,76.55,65.06,23.77,
F,CvCP,FC14,post-deployment,59.02,NA,78.30,58.00,20.50,
F,CvCP,FC14,post-deployment,73.33,NA,89.52,67.60,25.50,
F,CvCP,FC15,post-deployment,NA,NA,84.69,64.88,24.21,
F,CvCP,FC16,post-deployment,98.52,NA,100.00,70.10,27.00,
F,CvCP,FC17,post-deployment,58.36,NA,97.50,57.40,19.00,
F,CvCP,FC18,post-deployment,66.77,NA,78.84,67.09,22.17,
F,CvCP,FC19,post-deployment,68.71,NA,88.70,57.50,22.60,
M,CvCP,MCC01,post-deployment,NA,NA,82.97,51.03,23.58,
M,CvCP,MCC02,post-deployment,94.72,NA,100.10,59.30,27.80,
M,CvCP,MCC03,post-deployment,74.06,NA,82.86,63.51,19.88,
M,CvCP,MCC04,post-deployment,59.15,NA,76.20,58.60,22.10,
M,CvCP,MCC05,post-deployment,90.62,NA,94.24,66.60,28.40,
M,CvCP,MCC06,post-deployment,52.13,NA,75.28,50.20,20.70,
M,CvCP,MCC07,post-deployment,59.79,NA,82.20,57.20,20.40,
M,CvCP,MCC08,post-deployment,NA,NA,90.37,69.43,22.65,
M,CvCP,MCC10,post-deployment,NA,NA,95.33,59.21,23.13,
M,CvCP,MCC12,post-deployment,58.67,NA,75.24,57.89,20.23,
M,CvCP,MCC13,post-deployment,56.16,NA,85.18,48.19,19.70,
M,CvCP,MCC15,post-deployment,55.23,NA,93.00,58.20,24.50,
M,CvCP,MCC16,post-deployment,NA,NA,87.76,55.85,24.51,
M,CvCP,MCC17,post-deployment,81.26,NA,86.77,57.81,24.81,
M,CvCP,MCC18,post-deployment,55.23,NA,84.00,53.00,18.60,
N,CvCP,NBC01,post-deployment,NA,NA,78.10,59.36,22.36,
N,CvCP,NBC02,post-deployment,63.46,NA,80.85,61.75,20.67,
N,CvCP,NBC03,post-deployment,NA,NA,93.10,59.00,22.95,
N,CvCP,NBC05,post-deployment,58.96,NA,74.90,57.00,21.60,
N,CvCP,NBC06,post-deployment,61.73,NA,86.30,55.77,19.22,
N,CvCP,NBC08,post-deployment,NA,NA,93.55,63.65,22.10,
N,CvCP,NBC09,post-deployment,56.31,NA,84.21,51.78,21.53,
N,CvCP,NBC10,post-deployment,97.85,NA,97.10,62.70,26.40,
N,CvCP,NBC12,post-deployment,NA,NA,83.31,58.01,21.44,
N,CvCP,NBC13,post-deployment,77.13,NA,89.70,57.09,22.19,
N,CvCP,NBC14,post-deployment,61.51,NA,87.80,55.30,23.40,
N,CvCP,NBC15,post-deployment,68.30,NA,86.30,65.90,23.00,
N,CvCP,NBC18,post-deployment,59.09,NA,76.60,57.50,23.90,
N,CvCP,NBC19,post-deployment,87.91,NA,85.80,60.30,24.20,
B,CvCP,OC01,post-deployment,NA,NA,95.91,66.85,26.25,
B,CvCP,OC02,post-deployment,82.43,NA,90.72,63.47,24.96,
B,CvCP,OC04,post-deployment,81.62,NA,102.71,52.55,20.84,
B,CvCP,OC05,post-deployment,69.58,NA,80.83,57.24,20.13,
B,CvCP,OC06,post-deployment,148.52,NA,104.95,61.31,30.52,
B,CvCP,OC07,post-deployment,NA,NA,98.88,69.02,23.33,
B,CvCP,OC08,post-deployment,76.46,NA,87.79,56.72,20.13,
B,CvCP,OC09,post-deployment,103.60,NA,104.84,71.46,17.17,
B,CvCP,OC10,post-deployment,83.97,NA,88.22,60.96,23.70,
B,CvCP,OC15,post-deployment,NA,NA,100.53,60.32,30.77,
B,CvCP,OC16,post-deployment,57.14,NA,86.48,61.27,20.22,
B,CvCP,OC17,post-deployment,119.12,NA,95.27,69.21,23.80,
B,CvCP,OC18,post-deployment,73.83,NA,83.70,61.00,26.50,
B,CvCP,OC19,post-deployment,NA,NA,85.87,54.33,24.17,
B,CvCP,OC20,post-deployment,55.35,NA,78.32,52.19,20.72,
P,CvCP,PNC01,post-deployment,106.99,NA,94.55,72.50,26.18,
P,CvCP,PNC02,post-deployment,54.87,NA,84.40,55.00,18.90,
P,CvCP,PNC03,post-deployment,78.46,NA,91.00,71.50,21.80,
P,CvCP,PNC04,post-deployment,NA,NA,80.42,59.95,22.59,
P,CvCP,PNC05,post-deployment,84.00,NA,95.71,64.06,19.97,
P,CvCP,PNC06,post-deployment,67.62,NA,85.30,59.00,25.50,
P,CvCP,PNC07,post-deployment,NA,NA,87.03,63.06,24.31,
P,CvCP,PNC08,post-deployment,90.26,NA,102.80,59.80,25.20,
P,CvCP,PNC09,post-deployment,61.06,NA,75.70,60.00,21.60,
P,CvCP,PNC10,post-deployment,81.80,NA,88.38,62.82,22.54,
P,CvCP,PNC11,post-deployment,55.43,NA,82.60,55.20,20.70,
P,CvCP,PNC12,post-deployment,73.56,NA,92.30,61.20,22.90,
P,CvCP,PNC15,post-deployment,81.81,NA,94.30,56.90,26.70,
P,CvCP,PNC16,post-deployment,74.13,NA,88.35,52.75,19.74,
P,CvCP,PNC17,post-deployment,NA,NA,98.80,64.65,25.64,
P,CvCP,PNC19,post-deployment,66.08,NA,94.00,62.10,19.30,
P,CvCP,PNC20,post-deployment,NA,NA,75.75,50.18,22.04,
Q,CvCP,QKC01,post-deployment,55.52,NA,73.30,57.30,21.70,
Q,CvCP,QKC02,post-deployment,NA,NA,71.35,63.17,24.65,
Q,CvCP,QKC05,post-deployment,73.83,NA,95.00,54.50,28.80,
