Date_sampled,pH,Tank_Replicate,pH_Replicate,Shell_length_mm,New_tin_ID,Shell_Tin_ID,Shell_Tin_Weight_g,Dry_Shell_Tin_Weight_g,Dry_Shell_weight_g,Ash_Shell_Tin_Weight_g,Ash_Inorganic_Shell_g,Somatic_Tissue_Tin_Weight_g,Dry_Somatic_Tissue_Tin_Weight_g,Dry_Somatic_Tissue_g,Ash_Somatic_Tissue_Tin_Weight_g,Ash_Inorganic_ Somatic_Tissue_g,Adductor_Tin_Weight_g,Dry_Adductor_Tissue_Tin_Weight_g,Dry_Adductor_Tissue_g,Ash_Adductor_Tissue_Tin_Weight_g,Ash_Inorganic_ Adductor_Tissue_g,Gonad_Tin_ID,Gonad_stage,Gonad_Tin_Weight_g,Dry_Gonad_Tin_Weight_g,Dry_Gonad_weight_g,Ash_Gonad_Tissue_Tin_Weight_g,Ash_Inorganic_Gonad_Tissue_g,Tissue_Tin_ID,Tissue_Tin_Weight_g,Dry_Tissue_Tin_Weight_g,Dry_Tissue_g,Total_Dry_Tissue_g,Ash_Tissue_Tin_Weight_g,Inorganic_Tissue_g,Total_Inorganic_Tissue_g,Tissue_AFDW_g,Total_Inorganic_Weight_g,Total_AFDW_g,Whole_animal_dry_weight_g,notes
10/26/2021,7.5,B,7.5_B,5.76,NA,4A6,0.4183,0.4285,0.0102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4A5,0.4139,0.4148,0.0009,0.0009,0.4246,NA,NA,NA,0.0107,0.0004,0.0111,used for dry weights and condition only
10/26/2021,7.5,B,7.5_B,4.96,NA,4A8,0.4095,0.4182,0.0087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4A7,0.4094,0.4105,0.0011,0.0011,0.4182,NA,NA,NA,0.0088,0.001,0.0098,used for dry weights and condition only
10/26/2021,7.5,B,7.5_B,7.03,NA,NA,0.4193,0.4459,0.0266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4114,0.4144,0.003,0.003,NA,NA,NA,NA,NA,NA,0.0296,scallops used for RR and CR
10/26/2021,7.5,B,7.5_B,10.1,NA,NA,0.4118,0.4807,0.0689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4117,0.4191,0.0074,0.0074,NA,NA,NA,NA,NA,NA,0.0763,scallops used for RR and CR
10/26/2021,7.5,B,7.5_B,9.51,NA,NA,0.4087,0.4668,0.0581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4157,0.4222,0.0065,0.0065,NA,NA,NA,NA,NA,NA,0.0646,scallops used for RR and CR
10/26/2021,7.5,C,7.5_C,7.15,NA,4C4,0.416,0.4416,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4C3,0.4111,0.4143,0.0032,0.0032,0.4368,NA,NA,NA,0.0257,0.0031,0.0288,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,7.91,NA,4C6,0.4084,0.4402,0.0318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4C5,0.4165,0.4205,0.004,0.004,0.4489,NA,NA,NA,0.0324,0.0034,0.0358,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,7.08,NA,4C8,0.4104,0.4328,0.0224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4C7,0.4097,0.4125,0.0028,0.0028,0.4323,NA,NA,NA,0.0226,0.0026,0.0252,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,6.06,NA,4C10,0.4094,0.4249,0.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4C9,0.4119,0.4138,0.0019,0.0019,0.4272,NA,NA,NA,0.0153,0.0021,0.0174,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,5.8,NA,4C12,0.4114,0.423,0.0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4C11,0.4139,0.4155,0.0016,0.0016,0.4256,NA,NA,NA,0.0117,0.0015,0.0132,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,7.04,NA,4B6,0.4079,0.4325,0.0246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4B5,0.4144,0.4164,0.002,0.002,0.4379,NA,NA,NA,0.0235,0.0031,0.0266,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,7.25,NA,4B8,0.4144,0.4393,0.0249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4B7,0.4097,0.4124,0.0027,0.0027,0.4358,NA,NA,NA,0.0261,0.0015,0.0276,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,7.98,NA,4B10,0.4153,0.449,0.0337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4B9,0.4161,0.4202,0.0041,0.0041,0.449,NA,NA,NA,0.0329,0.0049,0.0378,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,5.95,NA,4B12,0.4114,0.4277,0.0163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4B11,0.4179,0.4189,0.001,0.001,0.4342,NA,NA,NA,0.0163,0.001,0.0173,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,5.97,NA,4C2,0.4134,0.4269,0.0135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4C1,0.4151,0.4172,0.0021,0.0021,0.4287,NA,NA,NA,0.0136,0.002,0.0156,used for dry weights and condition only
10/26/2021,7.5,C,7.5_C,7.4,NA,NA,0.4058,0.433,0.0272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4154,0.4184,0.003,0.003,NA,NA,NA,NA,NA,NA,0.0302,scallops used for RR and CR
10/26/2021,7.5,C,7.5_C,9.55,NA,NA,0.4109,0.4686,0.0577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418,0.4255,0.0075,0.0075,NA,NA,NA,NA,NA,NA,0.0652,scallops used for RR and CR
10/26/2021,7.5,C,7.5_C,9.71,NA,NA,0.4107,0.4729,0.0622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4097,0.4164,0.0067,0.0067,NA,NA,NA,NA,NA,NA,0.0689,scallops used for RR and CR
10/26/2021,7.5,D,7.5_D,4.6,NA,4A12,0.4098,0.4139,0.0041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4A11,0.4208,0.4219,0.0011,0.0011,0.432,NA,NA,NA,0.0112,-0.006,0.0052,"used for dry weights and condition only, shell fell apart likley underestimted"
10/26/2021,7.5,D,7.5_D,8.55,NA,4B2,0.4096,0.4556,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4B1,0.4201,0.4244,0.0043,0.0043,0.6246,NA,NA,NA,0.2045,-0.1542,0.0503,used for dry weights and condition only
10/26/2021,7.5,D,7.5_D,8.1,NA,4B4,0.4114,0.4459,0.0345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4B3,0.4179,0.4223,0.0044,0.0044,0.4526,NA,NA,NA,0.0347,0.0042,0.0389,used for dry weights and condition only
10/26/2021,7.5,D,7.5_D,5.43,NA,4B6,0.4093,0.4209,0.0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4B5,0.4193,0.4204,0.0011,0.0011,0.4297,NA,NA,NA,0.0104,0.0023,0.0127,"used for dry weights and condition only, shell fell apart likley underestimted"
10/26/2021,7.5,D,7.5_D,8.8,NA,4B8,0.4107,0.4528,0.0421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4B7,0.4135,0.419,0.0055,0.0055,0.4564,NA,NA,NA,0.0429,0.0047,0.0476,used for dry weights and condition only
10/26/2021,7.5,D,7.5_D,7.64,NA,4A2,0.4162,0.4481,0.0319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4A1,0.4075,0.4112,0.0037,0.0037,0.4402,NA,NA,NA,0.0327,0.0029,0.0356,used for dry weights and condition only
10/26/2021,7.5,D,7.5_D,6.17,NA,4A4,0.4135,0.4292,0.0157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4A3,0.4124,0.414,0.0016,0.0016,0.428,NA,NA,NA,0.0156,0.0017,0.0173,used for dry weights and condition only
10/26/2021,7.5,D,7.5_D,6.79,NA,4A6,0.4168,0.4407,0.0239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4A5,0.4104,0.4129,0.0025,0.0025,0.4345,NA,NA,NA,0.0241,0.0023,0.0264,used for dry weights and condition only
10/26/2021,7.5,D,7.5_D,7.98,NA,4A8,0.4126,0.4472,0.0346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4A7,0.4113,0.4149,0.0036,0.0036,0.4458,NA,NA,NA,0.0345,0.0037,0.0382,used for dry weights and condition only
10/26/2021,7.5,D,7.5_D,6.75,NA,4A10,0.4102,0.4288,0.0186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4A9,0.4154,0.4177,0.0023,0.0023,0.4342,NA,NA,NA,0.0188,0.0021,0.0209,used for dry weights and condition only
10/26/2021,7.5,D,7.5_D,7.42,NA,NA,0.417,0.4445,0.0275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4126,0.415,0.0024,0.0024,NA,NA,NA,NA,NA,NA,0.0299,scallops used for RR and CR
10/26/2021,7.5,D,7.5_D,8.89,NA,NA,0.4112,0.4531,0.0419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4149,0.4202,0.0053,0.0053,NA,NA,NA,NA,NA,NA,0.0472,scallops used for RR and CR
10/26/2021,8,A,8_A,13.28,NA,NA,0.4112,0.5637,0.1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4072,0.4191,0.0119,0.0119,0.5596,NA,NA,NA,0.1524,0.012,0.1644,used for dry weights and condition only
10/26/2021,8,A,8_A,9.47,NA,NA,0.4139,0.4746,0.0607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4114,0.4166,0.0052,0.0052,0.472,NA,NA,NA,0.0606,0.0053,0.0659,used for dry weights and condition only
10/26/2021,8,A,8_A,13.01,NA,NA,0.41,0.5543,0.1443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4106,0.4209,0.0103,0.0103,0.5543,NA,NA,NA,0.1437,0.0109,0.1546,used for dry weights and condition only
10/26/2021,8,A,8_A,9.85,NA,NA,0.416,0.4839,0.0679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4075,0.4136,0.0061,0.0061,0.4757,NA,NA,NA,0.0682,0.0058,0.074,used for dry weights and condition only
10/26/2021,8,A,8_A,12.64,NA,NA,0.4125,0.5326,0.1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4115,0.4242,0.0127,0.0127,0.5328,NA,NA,NA,0.1213,0.0115,0.1328,used for dry weights and condition only
10/26/2021,8,A,8_A,11.76,NA,NA,0.4094,0.516,0.1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407,0.4173,0.0103,0.0103,0.5156,NA,NA,NA,0.1086,0.0083,0.1169,used for dry weights and condition only
10/26/2021,8,A,8_A,7.45,NA,NA,0.411,0.4371,0.0261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4086,0.4111,0.0025,0.0025,0.435,NA,NA,NA,0.0264,0.0022,0.0286,used for dry weights and condition only
10/26/2021,8,A,8_A,6.92,NA,NA,0.4082,0.4338,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4089,0.4113,0.0024,0.0024,0.4351,NA,NA,NA,0.0262,0.0018,0.028,used for dry weights and condition only
10/26/2021,8,A,8_A,9.99,NA,6A2,0.4188,0.4868,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6A1,0.4162,0.4227,0.0065,0.0065,0.4855,NA,NA,NA,0.0693,0.0052,0.0745,used for dry weights and condition only
10/26/2021,8,A,8_A,7.19,NA,6A4,0.4233,0.4482,0.0249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6A3,0.4155,0.41779,0.00229,0.00229,0.4403,NA,NA,NA,0.0248,0.00239,0.02719,used for dry weights and condition only
10/26/2021,8,A,8_A,4.39,NA,6A6,0.4161,0.4215,0.0054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6A5,0.4076,0.4081,0.0005,0.0005,0.412,NA,NA,NA,0.0044,0.0015,0.0059,used for dry weights and condition only
10/26/2021,8,A,8_A,12.61,NA,NA,0.4106,0.5517,0.1411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4128,0.4259,0.0131,0.0131,NA,NA,NA,NA,NA,NA,0.1542,scallops used for RR and CR
10/26/2021,8,A,8_A,14.31,NA,NA,0.4188,0.5912,0.1724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4115,0.4275,0.016,0.016,NA,NA,NA,NA,NA,NA,0.1884,scallops used for RR and CR
10/26/2021,8,B,8_B,13.21,NA,6A8,0.4113,0.5631,0.1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6A7,0.41,0.4257,0.0157,0.0157,0.5691,NA,NA,NA,0.1591,0.0084,0.1675,used for dry weights and condition only
10/26/2021,8,B,8_B,9.19,NA,6A10,0.4126,0.4568,0.0442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6A9,0.4102,0.4142,0.004,0.004,0.4559,NA,NA,NA,0.0457,0.0025,0.0482,used for dry weights and condition only
10/26/2021,8,B,8_B,8.56,NA,6A12,0.4104,0.4578,0.0474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6A11,0.4162,0.4212,0.005,0.005,0.4652,NA,NA,NA,0.049,0.0034,0.0524,used for dry weights and condition only
10/26/2021,8,B,8_B,5.86,NA,6B4,0.4129,0.4245,0.0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6B3,0.4151,0.4159,0.0008,0.0008,0.4275,NA,NA,NA,0.0124,3.29597E-17,0.0124,used for dry weights and condition only
10/26/2021,8,B,8_B,5.77,NA,6B6,0.4123,0.4239,0.0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6B5,0.4114,0.4121,0.0007,0.0007,0.4227,NA,NA,NA,0.0113,0.001,0.0123,used for dry weights and condition only
10/26/2021,8,B,8_B,6.04,NA,6B8,0.4171,0.4235,0.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6B7,0.4101,0.4113,0.0012,0.0012,0.4216,NA,NA,NA,0.0115,-0.0039,0.0076,used for dry weights and condition only
10/26/2021,8,B,8_B,11.08,NA,6B10,0.4195,0.5112,0.0917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6B9,0.419,0.4276,0.0086,0.0086,0.5142,NA,NA,NA,0.0952,0.0051,0.1003,used for dry weights and condition only
10/26/2021,8,B,8_B,5.73,NA,6B12,0.4163,0.4285,0.0122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6B11,0.4188,0.4203,0.0015,0.0015,0.431,NA,NA,NA,0.0122,0.0015,0.0137,used for dry weights and condition only
10/26/2021,8,B,8_B,8.68,NA,6C2,0.4137,0.4521,0.0384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6C1,0.414,0.4179,0.0039,0.0039,0.4536,NA,NA,NA,0.0396,0.0027,0.0423,used for dry weights and condition only
10/26/2021,8,B,8_B,12.5,NA,6B2,0.4107,0.5398,0.1291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6B1,0.4186,0.433,0.0144,0.0144,0.5527,NA,NA,NA,0.1341,0.0094,0.1435,used for dry weights and condition only
10/26/2021,8,B,8_B,8.94,NA,NA,0.409,0.4571,0.0481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4168,0.4237,0.0069,0.0069,NA,NA,NA,NA,NA,NA,0.055,scallops used for RR and CR
10/26/2021,8,B,8_B,11.61,NA,NA,0.4108,0.4954,0.0846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4108,0.424,0.0132,0.0132,NA,NA,NA,NA,NA,NA,0.0978,scallops used for RR and CR
10/26/2021,8,C,8_C,14.7,NA,6C4,0.4114,0.5822,0.1708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6C3,0.414,0.4337,0.0197,0.0197,0.591,NA,NA,NA,0.177,0.0135,0.1905,used for dry weights and condition only
10/26/2021,8,C,8_C,13.42,NA,6C6,0.4089,0.5808,0.1719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6C5,0.4156,0.4331,0.0175,0.0175,0.5844,NA,NA,NA,0.1688,0.0206,0.1894,used for dry weights and condition only
10/26/2021,8,C,8_C,11.69,NA,6C8,0.4153,0.5229,0.1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6C7,0.4187,0.4301,0.0114,0.0114,0.5352,NA,NA,NA,0.1165,0.0025,0.119,used for dry weights and condition only
10/26/2021,8,C,8_C,4.59,NA,6C10,0.4156,0.4224,0.0068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6C9,0.4158,0.4165,0.0007,0.0007,0.422,NA,NA,NA,0.0062,0.0013,0.0075,used for dry weights and condition only
10/26/2021,8,C,8_C,14.07,NA,NA,0.4196,0.5996,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4132,0.4326,0.0194,0.0194,NA,NA,NA,NA,NA,NA,0.1994,scallops used for RR and CR
10/26/2021,8,C,8_C,12.53,NA,NA,0.4095,0.5424,0.1329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4219,0.4362,0.0143,0.0143,NA,NA,NA,NA,NA,NA,0.1472,scallops used for RR and CR
10/26/2021,8,D,8_D,11.66,NA,5C8,0.42,0.524,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5C7,0.4174,0.4293,0.0119,0.0119,0.5241,NA,NA,NA,0.1067,0.0092,0.1159,used for dry weights and condition only
10/26/2021,8,D,8_D,11.75,NA,5C10,0.4192,0.5272,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5C9,0.4159,0.4281,0.0122,0.0122,0.5258,NA,NA,NA,0.1099,0.0103,0.1202,used for dry weights and condition only
10/26/2021,8,D,8_D,8.84,NA,5C12,0.418,0.4612,0.0432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5C11,0.4217,0.4259,0.0042,0.0042,0.4652,NA,NA,NA,0.0435,0.0039,0.0474,used for dry weights and condition only
10/26/2021,8,D,8_D,8.05,NA,5B2,0.4126,0.4507,0.0381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5B1,0.4078,0.4113,0.0035,0.0035,0.4459,NA,NA,NA,0.0381,0.0035,0.0416,used for dry weights and condition only
10/26/2021,8,D,8_D,7.76,NA,5B4,0.4107,0.4404,0.0297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5B3,0.4157,0.416,0.0003,0.0003,0.4442,NA,NA,NA,0.0285,0.0015,0.03,no tissue?
10/26/2021,8,D,8_D,7.75,NA,5A10,0.4147,0.4445,0.0298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A9,0.4129,0.4159,0.003,0.003,0.4426,NA,NA,NA,0.0297,0.0031,0.0328,used for dry weights and condition only
10/26/2021,8,D,8_D,7.02,NA,5A12,0.4135,0.4366,0.0231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A11,0.4154,0.4175,0.0021,0.0021,0.4379,NA,NA,NA,0.0225,0.0027,0.0252,used for dry weights and condition only
10/26/2021,8,D,8_D,7.13,NA,5C2,0.4116,0.4347,0.0231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5C1,0.4113,0.4134,0.0021,0.0021,0.4342,NA,NA,NA,0.0229,0.0023,0.0252,used for dry weights and condition only
10/26/2021,8,D,8_D,7.52,NA,5C4,0.4187,0.428,0.0093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5C3,0.4214,0.422,0.0006,0.0006,0.4307,NA,NA,NA,0.0093,0.0006,0.0099,used for dry weights and condition only
10/26/2021,8,D,8_D,4.49,NA,5C6,0.4222,0.428,0.0058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5C5,0.4195,0.4203,0.0008,0.0008,0.4256,NA,NA,NA,0.0061,0.0005,0.0066,used for dry weights and condition only
10/26/2021,8,D,8_D,8.65,NA,NA,0.4136,0.4575,0.0439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4118,0.4156,0.0038,0.0038,NA,NA,NA,NA,NA,NA,0.0477,scallops used for RR and CR
10/26/2021,8,D,8_D,11.4,NA,NA,0.4137,0.5085,0.0948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4135,0.4235,0.01,0.01,NA,NA,NA,NA,NA,NA,0.1048,scallops used for RR and CR
12/2/2021,7.5,A,7.5_A,21.7,41,5A5,1.2718,1.8687,0.5969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A5,0.4127,0.4931,0.0804,0.0804,1.0248,NA,NA,NA,0.6121,0.0652,0.6773,used for dry weights and condition only
12/2/2021,7.5,A,7.5_A,21.3,42,5A6,1.2524,1.7901,0.5377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A6,0.4173,0.4981,0.0808,0.0808,0.9656,NA,NA,NA,0.5483,0.0702,0.6185,used for dry weights and condition only
12/2/2021,7.5,A,7.5_A,19.1,43,5A7,1.2843,1.6764,0.3921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A7,0.4174,0.4727,0.0553,0.0553,0.8196,NA,NA,NA,0.4022,0.0452,0.4474,used for dry weights and condition only
12/2/2021,7.5,A,7.5_A,12.2,44,5A8,1.2848,1.3967,0.1119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A8,0.4119,0.4252,0.0133,0.0133,0.524,NA,NA,NA,0.1121,0.0131,0.1252,used for dry weights and condition only
12/2/2021,7.5,A,7.5_A,12.9,45,5A9,1.2706,1.3683,0.0977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A9,0.417,0.4316,0.0146,0.0146,0.517,NA,NA,NA,0.1,0.0123,0.1123,used for dry weights and condition only
12/2/2021,7.5,A,7.5_A,11.9,46,5A10,1.282,1.3792,0.0972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A10,0.416,0.4293,0.0133,0.0133,0.5146,NA,NA,NA,0.0986,0.0119,0.1105,used for dry weights and condition only
12/2/2021,7.5,A,7.5_A,11.9,47,5A11,1.2697,1.3624,0.0927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A11,0.4125,0.4265,0.014,0.014,0.5068,NA,NA,NA,0.0943,0.0124,0.1067,used for dry weights and condition only
12/2/2021,7.5,A,7.5_A,5.7,48,5A12,1.28,1.28,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5A12,0.42,0.42,0,0,0.43,NA,NA,NA,0.01,0,0.01,used for dry weights and condition only
12/2/2021,7.5,A,7.5_A,5.7,49,5B1,1.2515,1.26,0.0085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5B1,0.4148,0.4159,0.0011,0.0011,0.4231,NA,NA,NA,0.0083,0.0013,0.0096,used for dry weights and condition only
