 ,Area,Mean,Min,Max,Angle,Length
1,1.735E-4,225.018,192.131,249.368,4.444,0.183
2,2.127E-4,226.433,200.784,254.998,176.626,0.224
3,1.638E-4,201.114,105.186,255.000,123.734,0.172
4,1.602E-4,205.174,163.251,237.613,92.559,0.169
5,1.789E-4,202.799,150.982,249.688,164.468,0.188
