Date,sample_type,treatment,water_sample_time,vol_filtered_L,initial_filter_weight_mg,dry_filter_weight_mg,ash_filter_weight_mg,animal_number,tank_ID,inclubation_time_hours,animal_length_mm,animal_dry_weight_mg
20220302,water_Blank,8,8:45,0.2,25.314,27.554,26.891,NA,NA,NA,NA,NA
20220302,water_Blank,8,9:15,0.3,25.226,26.306,25.861,NA,NA,NA,NA,NA
20220302,water_Blank,8,9:45,0.3,25.975,27.026,26.552,NA,NA,NA,NA,NA
20220302,water_Blank,8,10:15,0.3,24.779,25.714,25.324,NA,NA,NA,NA,NA
20220302,water_Blank,8,10:45,0.3,24.225,25.243,24.832,NA,NA,NA,NA,NA
20220302,water_Blank,8,11:15,0.3,26.263,27.093,26.726,NA,NA,NA,NA,NA
20220302,water_Blank,8,11:45,0.3,26.193,27.109,26.686,NA,NA,NA,NA,NA
20220302,water_Input,8,8:45,0.2,24.681,26.362,25.817,NA,NA,NA,NA,NA
20220302,water_Input,8,9:15,0.3,25.835,27.063,26.581,NA,NA,NA,NA,NA
20220302,water_Input,8,9:45,0.3,25.326,26.571,26.064,NA,NA,NA,NA,NA
20220302,water_Input,8,10:15,0.3,24.641,25.894,25.35,NA,NA,NA,NA,NA
20220302,water_Input,8,10:45,0.3,24.798,26.078,25.547,NA,NA,NA,NA,NA
20220302,water_Input,8,11:15,0.3,25.399,26.383,25.967,NA,NA,NA,NA,NA
20220302,water_Input,8,11:45,0.3,25.632,26.805,26.268,NA,NA,NA,NA,NA
20220302,feces,8,NA,NA,25.722,29.456,28.103,1,8A,3,20.2,0.1263
20220302,feces,8,NA,NA,24.185,24.583,24.376,2,8B,3,20.35,0.0803
20220302,feces,8,NA,NA,25.878,28.391,27.575,3,8C,3,21.9,0.1547
20220302,feces,8,NA,NA,25.097,29.631,28.326,4,8D,3,23.9,0.196
20220302,feces,8,NA,NA,25.482,27.779,26.863,5,8E,2.5,21,0.1175
20220302,feces,8,NA,NA,25.632,27.763,27.054,6,8F,3,23.7,0.1926
20220302,feces,8,NA,NA,25.612,28.86,27.779,7,8G,3,21.2,0.142
20220302,feces,8,NA,NA,25.109,27.933,27.065,8,8H,3,22.05,0.1405
20220302,pseudofeces,8,NA,NA,24.667,29.215,28.074,1,8A,3,20.2,0.1263
20220302,pseudofeces,8,NA,NA,25.712,31.01,29.348,2,8B,3,20.35,0.0803
20220302,pseudofeces,8,NA,NA,24.125,26.128,25.577,3,8C,3,21.9,0.1547
20220302,pseudofeces,8,NA,NA,24.884,26.9,26.303,4,8D,3,23.9,0.196
20220302,pseudofeces,8,NA,NA,25.873,27.65,27.122,5,8E,2.5,21,0.1175
20220302,pseudofeces,8,NA,NA,26.077,31.414,29.965,6,8F,3,23.7,0.1926
20220302,pseudofeces,8,NA,NA,24.952,28.816,27.886,7,8G,3,21.2,0.142
20220302,pseudofeces,8,NA,NA,25.442,29.856,28.838,8,8H,3,22.05,0.1405
20220302,water_Blank,7.5,8:45,0.2,25.036,26.246,25.773,NA,NA,NA,NA,NA
20220302,water_Blank,7.5,9:15,0.3,25.311,26.565,26.051,NA,NA,NA,NA,NA
20220302,water_Blank,7.5,9:45,0.3,24.476,25.594,25.096,NA,NA,NA,NA,NA
20220302,water_Blank,7.5,10:15,0.3,25.341,26.452,25.981,NA,NA,NA,NA,NA
20220302,water_Blank,7.5,10:45,0.3,24.755,25.757,25.353,NA,NA,NA,NA,NA
20220302,water_Blank,7.5,11:15,0.3,25.268,26.227,25.836,NA,NA,NA,NA,NA
20220302,water_Blank,7.5,11:45,0.3,25.05,25.992,25.572,NA,NA,NA,NA,NA
20220302,water_Input,7.5,8:45,0.2,25.599,27.309,26.623,NA,NA,NA,NA,NA
20220302,water_Input,7.5,9:15,0.3,25.373,26.616,26.049,NA,NA,NA,NA,NA
20220302,water_Input,7.5,9:45,0.3,25.999,27.172,26.718,NA,NA,NA,NA,NA
20220302,water_Input,7.5,10:15,0.3,25.044,26.081,25.663,NA,NA,NA,NA,NA
20220302,water_Input,7.5,10:45,0.3,24.403,25.491,25.081,NA,NA,NA,NA,NA
20220302,water_Input,7.5,11:15,0.3,25.798,28.734,27.415,NA,NA,NA,NA,NA
20220302,water_Input,7.5,11:45,0.3,26.028,27.017,26.461,NA,NA,NA,NA,NA
20220302,feces,7.5,NA,NA,25.148,26.625,26.032,1,7.5A,3,22.2,0.1763
20220302,feces,7.5,NA,NA,25.624,28.439,27.473,2,7.5B,3,21.35,0.1436
20220302,feces,7.5,NA,NA,24.142,25.721,25.218,3,7.5C,3,23.75,0.1721
20220302,feces,7.5,NA,NA,25.451,28.605,27.573,4,7.5D,3,22.4,0.1968
20220302,feces,7.5,NA,NA,25.735,29.823,28.567,5,7.5E,3,23.45,0.1995
20220302,feces,7.5,NA,NA,24.464,26.061,25.369,6,7.5F,3,23.9,0.2425
20220302,feces,7.5,NA,NA,24.49,28.916,27.798,7,7.5G,3,24.3,0.2481
20220302,feces,7.5,NA,NA,25.957,28.177,27.072,8,7.5H,2.5,23.5,0.2242
20220302,pseudofeces,7.5,NA,NA,25.716,27.63,27.04,1,7.5A,3,22.2,0.1763
20220302,pseudofeces,7.5,NA,NA,25.784,27.858,27.175,2,7.5B,3,21.35,0.1436
20220302,pseudofeces,7.5,NA,NA,25.444,30.236,28.546,3,7.5C,3,23.75,0.1721
20220302,pseudofeces,7.5,NA,NA,26.025,29.333,28.291,4,7.5D,3,22.4,0.1968
20220302,pseudofeces,7.5,NA,NA,25.734,30.598,29.197,5,7.5E,3,23.45,0.1995
20220302,pseudofeces,7.5,NA,NA,25.213,27.776,27.01,6,7.5F,3,23.9,0.2425
20220302,pseudofeces,7.5,NA,NA,24.93,28.598,27.892,7,7.5G,3,24.3,0.2481
20220302,pseudofeces,7.5,NA,NA,26,27.793,27.207,8,7.5H,2.5,23.5,0.2242
20220923,water_Blank,8,9:00,0.25,24.448,25.483,25.183,NA,NA,NA,NA,NA
20220923,water_Blank,8,9:20,0.25,24.852,25.706,25.426,NA,NA,NA,NA,NA
20220923,water_Blank,8,9:40,0.25,25.038,25.722,25.446,NA,NA,NA,NA,NA
20220923,water_Blank,8,10:00,0.25,23.696,24.81,24.033,NA,NA,NA,NA,NA
20220923,water_Blank,8,10:20,0.25,24.951,25.782,25.473,NA,NA,NA,NA,NA
20220923,water_Blank,8,10:40,0.25,24.893,25.537,25.236,NA,NA,NA,NA,NA
20220923,water_Blank,8,11:00,0.25,25.731,26.48,26.164,NA,NA,NA,NA,NA
20220923,water_Input,8,9:00,0.25,25.186,26.022,25.651,NA,NA,NA,NA,NA
20220923,water_Input,8,9:20,0.25,25.508,26.441,26.095,NA,NA,NA,NA,NA
20220923,water_Input,8,9:40,0.25,24.488,25.401,25.029,NA,NA,NA,NA,NA
20220923,water_Input,8,10:00,0.25,25.598,26.49,26.138,NA,NA,NA,NA,NA
20220923,water_Input,8,10:20,0.25,24.103,25.042,24.717,NA,NA,NA,NA,NA
20220923,water_Input,8,10:40,0.25,24.909,25.778,25.467,NA,NA,NA,NA,NA
20220923,water_Input,8,11:00,0.25,25.817,26.364,25.888,NA,NA,NA,NA,NA
20220923,feces,8,NA,NA,25.403,29.716,28.924,1,8A,1.5,43.8,1.369
20220923,feces,8,NA,NA,25.877,31.673,30.805,2,8A,1.5,45.1,0.977
20220923,feces,8,NA,NA,25.889,32.175,31.105,3,8A,1.5,46.7,1.052
20220923,feces,8,NA,NA,25.122,26.911,26.538,4,8B,1.5,44.3,1.143
20220923,feces,8,NA,NA,25.142,29.436,28.662,5,8B,1.5,42.9,0.694
20220923,feces,8,NA,NA,24.97,31.557,30.57,6,8C,1.5,45.9,0.953
20220923,feces,8,NA,NA,25.598,29.253,28.689,7,8C,1.5,41.9,0.741
20220923,pseudofeces,8,NA,NA,25.08,31.444,30.565,1,8A,1.5,43.8,1.369
20220923,pseudofeces,8,NA,NA,25.292,35.916,34.424,2,8A,1.5,45.1,0.977
20220923,pseudofeces,8,NA,NA,24.854,29.125,28.349,3,8A,1.5,46.7,1.052
20220923,pseudofeces,8,NA,NA,25.073,35.579,34,4,8B,1.5,44.3,1.143
20220923,pseudofeces,8,NA,NA,25.335,36.463,34.704,5,8B,1.5,42.9,0.694
20220923,pseudofeces,8,NA,NA,25.422,35.479,34.046,6,8C,1.5,45.9,0.953
20220923,pseudofeces,8,NA,NA,25.527,34.279,32.951,7,8C,1.5,41.9,0.741
20220923,water_Blank,7.5,9:00,0.25,24.059,25.123,24.596,NA,NA,NA,NA,NA
20220923,water_Blank,7.5,9:20,0.25,25.317,26.533,26.05,NA,NA,NA,NA,NA
20220923,water_Blank,7.5,9:40,0.25,24.819,25.695,25.313,NA,NA,NA,NA,NA
20220923,water_Blank,7.5,10:00,0.25,23.849,24.641,24.302,NA,NA,NA,NA,NA
20220923,water_Blank,7.5,10:20,0.25,24.471,25.306,24.972,NA,NA,NA,NA,NA
20220923,water_Blank,7.5,10:40,0.25,25.627,26.533,26.168,NA,NA,NA,NA,NA
20220923,water_Blank,7.5,11:00,0.25,25.895,26.805,26.432,NA,NA,NA,NA,NA
20220923,water_Input,7.5,9:00,0.25,24.803,25.907,25.369,NA,NA,NA,NA,NA
20220923,water_Input,7.5,9:20,0.25,25.944,27.257,26.766,NA,NA,NA,NA,NA
20220923,water_Input,7.5,9:40,0.25,25.558,26.528,26.124,NA,NA,NA,NA,NA
20220923,water_Input,7.5,10:00,0.25,24.067,24.928,24.61,NA,NA,NA,NA,NA
20220923,water_Input,7.5,10:20,0.25,24.385,25.553,25.095,NA,NA,NA,NA,NA
20220923,water_Input,7.5,10:40,0.25,25.158,26.305,25.771,NA,NA,NA,NA,NA
20220923,water_Input,7.5,11:00,0.25,24.966,25.887,25.544,NA,NA,NA,NA,NA
20220923,feces,7.5,NA,NA,25.344,31.829,30.248,1,7.5A,1.5,43.35,0.894
20220923,feces,7.5,NA,NA,25.626,26.215,25.961,2,7.5A,1.5,36.9,0.48
20220923,feces,7.5,NA,NA,24.378,31.89,29.884,3,7.5B,1.5,42.4,0.936
20220923,feces,7.5,NA,NA,24.757,27.708,26.797,4,7.5B,1.5,39.5,0.457
20220923,feces,7.5,NA,NA,23.713,28.627,26.849,5,7.5C,1.5,45.35,1.158
20220923,feces,7.5,NA,NA,25.423,28.16,27.207,6,7.5C,1.5,44.8,0.938
20220923,feces,7.5,NA,NA,25.307,31.138,29.884,7,7.5D,1.5,45.7,1.416
20220923,pseudofeces,7.5,NA,NA,25.632,36.995,35.432,1,7.5A,1.5,43.35,0.894
20220923,pseudofeces,7.5,NA,NA,25.392,30.762,29.779,2,7.5A,1.5,36.9,0.48
20220923,pseudofeces,7.5,NA,NA,24.389,44.459,40.969,3,7.5B,1.5,42.4,0.936
20220923,pseudofeces,7.5,NA,NA,25.297,34.756,32.927,4,7.5B,1.5,39.5,0.457
20220923,pseudofeces,7.5,NA,NA,24.677,38.65,36.072,5,7.5C,1.5,45.35,1.158
20220923,pseudofeces,7.5,NA,NA,25.525,32.273,30.975,6,7.5C,1.5,44.8,0.938
20220923,pseudofeces,7.5,NA,NA,25.81,35.967,34.445,7,7.5D,1.5,45.7,1.416
20221027,water_Blank,7.5,9:30,0.25,25.34,26.488,26.116,NA,NA,NA,NA,NA
20221027,water_Blank,7.5,9:50,0.25,25.884,26.951,26.554,NA,NA,NA,NA,NA
20221027,water_Blank,7.5,10:10,0.25,24.356,25.224,24.929,NA,NA,NA,NA,NA
20221027,water_Blank,7.5,10:30,0.25,24.107,24.864,24.578,NA,NA,NA,NA,NA
20221027,water_Blank,7.5,10:50,0.25,25.657,26.688,26.343,NA,NA,NA,NA,NA
20221027,water_Blank,7.5,11:00,0.25,24.459,25.38,25.099,NA,NA,NA,NA,NA
20221027,water_Input,7.5,9:30,0.25,23.923,26.825,26.364,NA,NA,NA,NA,NA
