SampleName_readmatrix,Date,pCO2
Ai1,20211027,Low
Ai2,20211027,Low
Ai3,20211027,Low
Ai4,20211027,Low
Ai5,20211027,Low
Ai6,20211027,Low
Ai7,20211027,Low
Ai8,20211027,Low
Ai9,20211027,Low
Ai10,20211027,Low
Ai11,20211027,High
Ai12,20211027,High
Ai13,20211027,High
Ai14,20211027,High
Ai15,20211027,High
Ai16,20211027,High
Ai17,20211027,High
Ai18,20211027,High
Ai19,20211027,High
Ai20,20211027,High
Ai21,20220228,Low
Ai22,20220228,Low
Ai23,20220228,Low
Ai24,20220228,Low
Ai25,20220228,Low
Ai26,20220228,Low
Ai27,20220228,Low
Ai28,20220228,Low
Ai29,20220228,Low
Ai30,20220228,Low
Ai31,20220228,High
Ai32,20220228,High
Ai33,20220228,High
Ai34,20220228,High
Ai35,20220228,High
Ai36,20220228,High
Ai37,20220228,High
Ai38,20220228,High
Ai39,20220228,High
Ai40,20220228,High
