Date,Type,Treatment,Replicate,Temperature_bucket_C,Salinity,DO_mg_l,Temperature_spec_C,TA_mmol_kgSW,TCO2_mmol_kgSW,pH ,pH_out,fCO2_out_matm,pCO2_out_matm,HCO3_out_mmol_kgSW,CO3_out_mmol_kgSW,CO2_out_mmol_kgSW,B_alk_out_mmol_kgSW,OH_out_mmol_kgSW,P_Alk_out_mmol_kgSW,Si_Alk_out_mmol_kgSW,Revelle_out,Wca_out,War_out_DIC_pH,xCO2_out _dry_at _1_atm_ ppm_ DIC_pH
7/26/2021,Larvae,8,1,22.6,26.8,,20.47,1920.59,1758.831,7.9600,7.928,479.0,480.6,1630.1,113.7,15.1,50.9,3.6,0.0,0.0,12.534,2.90,1.85,493.8
7/26/2021,Larvae,8,2,22.7,26.7,,20.29,1911.6,1754.616,7.9700,7.934,471.8,473.4,1624.8,114.9,14.9,51.4,3.7,0.0,0.0,12.450,2.93,1.87,486.4
7/26/2021,Larvae,8,3,22.7,26.8,,20.3,1922.59,1765.601,7.9600,7.924,485.8,487.4,1636.8,113.5,15.3,50.6,3.6,0.0,0.0,12.578,2.89,1.85,500.8
7/26/2021,Larvae,8,4,22.7,26.9,,20.32,1918.79,1755.015,7.9800,7.944,459.3,460.8,1622.4,118.2,14.4,52.9,3.8,0.0,0.0,12.256,3.01,1.93,473.5
7/26/2021,Larvae,8,5,22.7,26.9,,20.26,1916.37,1753.718,7.9500,7.914,494.6,496.2,1627.7,110.5,15.6,49.9,3.5,0.0,0.0,12.675,2.81,1.80,509.9
7/26/2021,Larvae,7.5,6,22.8,26.9,,20.15,1926.02,1829.069,7.7700,7.732,797.2,799.8,1726.6,77.5,25.0,34.7,2.3,0.0,0.0,15.394,1.97,1.26,821.9
7/26/2021,Larvae,7.5,7,22.7,26.8,,20.15,1919.59,1810.503,7.8200,7.783,699.5,701.8,1703.1,85.4,22.0,38.2,2.6,0.0,0.0,14.691,2.18,1.39,721.1
7/26/2021,Larvae,7.5,8,22.7,26.9,,20.17,1921.33,1827.536,7.7800,7.744,774.5,777.1,1724.0,79.1,24.4,35.5,2.4,0.0,0.0,15.255,2.02,1.29,798.5
7/26/2021,Larvae,7.5,9,22.7,26.9,,20.22,1917.08,1807.647,7.8300,7.794,679.8,682.1,1698.7,87.5,21.4,39.3,2.7,0.0,0.0,14.497,2.23,1.43,700.9
7/26/2021,Larvae,7.5,10,22.8,27,,20.21,1923.09,1825.69,7.7800,7.743,775.1,777.6,1722.0,79.4,24.3,35.7,2.4,0.0,0.0,15.207,2.02,1.29,799.2
7/26/2021,Larvae,7,11,22.7,27,,20.17,1922.4,1899.757,7.5200,7.488,1464.3,1469.1,1807.6,46.1,46.0,20.7,1.3,0.0,0.0,17.813,1.17,0.75,1509.6
7/26/2021,Larvae,7,12,22.7,26.9,,20.11,1923.25,1909.645,7.4700,7.438,1651.8,1657.2,1816.5,41.2,51.9,18.5,1.2,0.0,0.0,17.882,1.05,0.67,1702.9
7/26/2021,Larvae,7,13,22.7,26.9,,20.24,1919.91,1886.602,7.5500,7.518,1356.7,1361.1,1795.0,49.0,42.7,22.0,1.4,0.0,0.0,17.704,1.25,0.80,1398.6
7/26/2021,Larvae,7,14,22.8,27,,20.24,1916.44,1915.568,7.4500,7.418,1731.4,1737.1,1821.5,39.8,54.3,17.9,1.1,0.0,0.0,17.828,1.01,0.65,1785.2
7/26/2021,Larvae,7,15,22.9,27,,20.2,1913.84,1915.531,7.4400,7.407,1778.6,1784.4,1821.1,38.9,55.6,17.5,1.1,0.0,0.0,17.787,0.99,0.63,1834.2
7/27/2021,Larvae,8,1,22.5,27,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,8,2,22.5,26.8,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,8,3,22.5,26.9,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,8,4,22.6,27,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,8,5,22.7,26.9,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7.5,6,22.6,27,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7.5,7,22.5,27,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7.5,8,22.6,27,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7.5,9,22.6,26.9,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7.5,10,22.5,27,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7,11,22.5,27.1,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7,12,22.5,27,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7,13,22.8,26.9,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7,14,22.7,27,,,,,,,,,,,,,,,,,,,
7/27/2021,Larvae,7,15,22.8,27,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,8,1,22.4,26.9,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,8,2,22.4,26.8,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,8,3,22.4,26.9,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,8,4,22.4,26.9,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,8,5,22.4,26.9,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7.5,6,22.5,26.9,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7.5,7,22.4,26.9,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7.5,8,22.4,26.9,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7.5,9,22.4,26.9,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7.5,10,22.7,27,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7,11,22.4,27,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7,12,22.4,27,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7,13,22.8,27,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7,14,22.8,27,,,,,,,,,,,,,,,,,,,
7/28/2021,Larvae,7,15,22.8,27,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,8,1,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,8,2,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,8,3,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,8,4,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,8,5,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7.5,6,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7.5,7,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7.5,8,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7.5,9,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7.5,10,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7,11,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7,12,22.3,27.2,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7,13,22.3,27.3,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7,14,22.3,27.3,,,,,,,,,,,,,,,,,,,
7/29/2021,Larvae,7,15,22.3,27.3,,,,,,,,,,,,,,,,,,,
7/30/2021,Larvae,8,1,22.4,27.2,,20.36,1937.712509,1732.21204,8.0100,7.979,414.7,416.0,1593.7,125.4,13.1,57.1,4.0,0.0,0.0,11.744,3.19,2.04,427.3
7/30/2021,Larvae,8,2,22.4,27.2,,20.22,1939.403426,1738.10303,8.0100,7.977,418.2,419.6,1599.6,125.3,13.2,56.9,4.0,0.0,0.0,11.782,3.18,2.04,431.0
7/30/2021,Larvae,8,3,22.5,27.1,,20.02,1935.206402,1735.691949,8.0100,7.973,422.8,424.2,1598.3,124.0,13.4,56.2,4.0,0.0,0.0,11.839,3.15,2.02,435.8
7/30/2021,Larvae,8,4,22.4,27.1,,20.11,1932.818335,1737.916606,8.0000,7.966,430.6,432.0,1602.4,121.9,13.6,55.4,3.9,0.0,0.0,11.959,3.10,1.98,443.7
7/30/2021,Larvae,8,5,22.4,27.1,,20.11,1936.898327,1743.894594,7.9600,7.926,476.1,477.7,1616.6,112.2,15.1,51.3,3.5,0.0,0.0,12.506,2.85,1.82,490.6
7/30/2021,Larvae,7.5,6,22.4,27.2,,20.03,1939.08764,1817.270975,7.7800,7.746,763.1,765.6,1714.3,78.9,24.2,35.9,2.3,0.0,0.0,15.191,2.00,1.28,786.3
7/30/2021,Larvae,7.5,7,22.5,27.1,,20.02,1933.729372,1817.295831,7.7800,7.745,766.9,769.5,1714.4,78.7,24.2,35.7,2.3,0.0,0.0,15.217,2.00,1.28,790.4
7/30/2021,Larvae,7.5,8,22.5,27.1,,20.02,1929.907659,1815.170601,7.7800,7.745,766.0,768.6,1712.4,78.6,24.2,35.7,2.3,0.0,0.0,15.212,2.00,1.28,789.5
7/30/2021,Larvae,7.5,9,22.6,27.1,,20.03,1930.056976,1816.848414,7.7800,7.743,769.4,772.0,1713.9,78.7,24.2,35.7,2.4,0.0,0.0,15.207,2.00,1.28,793.1
