"","Date","treatment","TPM_mgL_1","PIM_mgL_1","POM_mgL_1","Perc_INORG_1","Perc_ORG_1","Type"
"1",20220302,7.5,5.25285714285715,2.98952380952381,2.26333333333333,56.6325057981139,43.3674942018861,"input"
"2",20220302,8,4.61166666666666,2.78571428571429,1.82595238095238,59.2354950344328,40.7645049655672,"input"
"3",20220923,7.5,4.27657142857143,2.51314285714285,1.76342857142857,58.8969807093518,41.1030192906482,"input"
"4",20220923,8,3.388,1.92914285714286,1.45885714285714,54.415856432545,45.584143567455,"input"
"5",20221027,7.5,4.20133333333333,2.808,1.39333333333333,66.7890172865451,33.2109827134549,"input"
"6",20221027,8,3.65200000000001,2.318,1.334,63.4288196213655,36.5711803786345,"input"
"7",20220302,7.5,3.9052380952381,2.28261904761905,1.62261904761905,58.186457404874,41.813542595126,"blank"
"8",20220302,8,4.37619047619047,2.70738095238095,1.66880952380952,58.8025370710459,41.1974629289541,"blank"
"9",20220923,7.5,3.77085714285715,2.16914285714286,1.60171428571429,57.5804581613763,42.4195418386237,"blank"
"10",20220923,8,3.37771428571428,1.91542857142857,1.46228571428571,57.4307492486819,42.5692507513181,"blank"
"11",20221027,7.5,3.86133333333333,2.544,1.31733333333334,65.7748058491246,34.2251941508754,"blank"
"12",20221027,8,4.04133333333333,2.64466666666667,1.39666666666667,65.3644883330441,34.635511666956,"blank"
"13",20230201,7,4.3625,1.51166666666667,2.85083333333333,36.1218810821195,63.8781189178805,"blank"
"14",20230201,7.5,3.95916666666666,1.15666666666667,2.8025,28.8578896924697,71.1421103075303,"blank"
"15",20230201,8,6.20333333333334,2.34833333333333,3.855,36.6605749398356,63.3394250601644,"blank"
"16",20230224,7,3.06936354883884,1.72011071887035,1.34925282996849,55.9939646907956,44.0060353092044,"blank"
"17",20230224,7.5,3.47419047619047,1.96566666666667,1.5085238095238,56.472017687885,43.527982312115,"blank"
"18",20230224,8,4.15375,2.41,1.74375,55.5020536763456,44.4979463236544,"blank"
"19",20230328,7,5.28666666666667,3.57866666666667,1.708,66.4352237544216,33.5647762455784,"blank"
"20",20230328,7.5,4.30733333333333,2.99933333333333,1.308,66.3918057095388,33.6081942904612,"blank"
"21",20230328,8,5.62866666666667,3.98333333333333,1.64533333333333,70.3615301236374,29.6384698763626,"blank"
