 ,Area,Mean,Min,Max,Angle,Length
1,1.744E-4,185.632,109.610,223.424,16.952,0.184
2,1.709E-4,184.004,143.456,216.510,87.751,0.180
3,1.629E-4,182.000,138.006,233.349,144.077,0.171
4,1.664E-4,168.735,128.332,215.172,-10.222,0.175
5,1.922E-4,163.903,85.396,209.870,97.753,0.203
