Date,Channel,Lpc,Leq,Lz,alpha,Filename
9/14/2021,CH1,-0.036777814,-0.102517385,-0.102517385,0.4,Run_1_raw.txt
9/14/2021,CH2,-0.072447891,-0.072220813,-0.009510937,0.4,Run_1_raw.txt
9/14/2021,CH3,-0.008791019,-0.008906905,-0.008906905,0.4,Run_1_raw.txt
9/14/2021,CH4,-0.019341153,-0.01864351,-0.030782733,0.4,Run_1_raw.txt
9/14/2021,CH5,-0.008496714,-0.008431328,-0.021203161,0.4,Run_1_raw.txt
9/14/2021,CH6,-0.019939811,-0.019939811,-0.014052636,0.4,Run_1_raw.txt
9/14/2021,CH7,-0.014147992,-0.014736603,-0.014736603,0.4,Run_1_raw.txt
9/14/2021,CH8,0.004121345,-0.002595889,-0.002595889,0.4,Run_1_raw.txt
9/14/2021,CH1,-0.010587851,-0.009035176,-0.010864213,0.4,Run_1_restart_raw.txt
9/14/2021,CH2,-0.020274655,-0.020686323,-0.020829641,0.4,Run_1_restart_raw.txt
9/14/2021,CH3,-0.00680989,-0.005212074,-0.005212074,0.4,Run_1_restart_raw.txt
9/14/2021,CH4,-0.001487894,-0.001612532,0.000104098,0.4,Run_1_restart_raw.txt
9/14/2021,CH5,-0.003560874,-0.003877939,-0.003877939,0.4,Run_1_restart_raw.txt
9/14/2021,CH6,-0.012859944,-0.009257395,-0.009257395,0.4,Run_1_restart_raw.txt
9/14/2021,CH7,-0.006948406,-0.006874079,-0.004894166,0.4,Run_1_restart_raw.txt
9/14/2021,CH8,0.000344576,-6.68E-05,-6.79E-05,0.4,Run_1_restart_raw.txt
9/14/2021,CH1,0.000995514,0.002014487,0.002014487,0.4,Run_2_raw.txt
9/14/2021,CH2,-0.014318089,-0.014403962,-0.022538015,0.4,Run_2_raw.txt
9/14/2021,CH3,-0.010489214,-0.008507836,-0.008507836,0.4,Run_2_raw.txt
9/14/2021,CH4,-0.002433852,-0.002433852,-0.002983127,0.4,Run_2_raw.txt
9/14/2021,CH5,-0.00525218,-0.004583581,-0.004583581,0.4,Run_2_raw.txt
9/14/2021,CH6,-0.017212547,-0.016228014,-0.016228014,0.4,Run_2_raw.txt
9/14/2021,CH7,-0.025268528,-0.025268528,-0.027153668,0.4,Run_2_raw.txt
9/14/2021,CH8,-0.002961862,-0.00303989,-0.002762825,0.4,Run_2_raw.txt
9/14/2021,CH1,-0.01067604,-0.01067604,-0.01067604,0.4,Run_3_raw.txt
9/14/2021,CH2,-0.002221288,-0.00212516,-0.00212516,0.4,Run_3_raw.txt
9/14/2021,CH3,-0.001386829,-0.00246828,-0.00246828,0.4,Run_3_raw.txt
9/14/2021,CH4,-0.004211875,-0.004220081,-0.004220081,0.4,Run_3_raw.txt
9/14/2021,CH5,-0.010199906,-0.017487813,-0.017487813,0.4,Run_3_raw.txt
