Date,Age,Treatment,Rep,Count,Survival
8/18/2021,23,Low,A,1500,1
8/18/2021,23,Low,B,1500,1
8/18/2021,23,Low,C,1500,1
8/18/2021,23,Low,D,1606,1
8/18/2021,23,Moderate,A,1500,1
8/18/2021,23,Moderate,B,1500,1
8/18/2021,23,Moderate,C,1511,1
8/18/2021,23,Moderate,D,1500,1
9/15/2021,51,Low,A,1331,0.887333333
9/15/2021,51,Low,B,1490,0.993333333
9/15/2021,51,Low,C,1366,0.910666667
9/15/2021,51,Low,D,1606,1
9/15/2021,51,Moderate,A,1374,0.916
9/15/2021,51,Moderate,B,1327,0.884666667
9/15/2021,51,Moderate,C,1511,1
9/15/2021,51,Moderate,D,1266,0.844
9/28/2021,64,Low,A,624,0.785894207
9/28/2021,64,Low,B,627,0.987401575
9/28/2021,64,Low,C,618,0.814229249
9/28/2021,64,Low,D,601,0.9616
9/28/2021,64,Moderate,A,609,0.810918775
9/28/2021,64,Moderate,B,631,0.790726817
9/28/2021,64,Moderate,C,622,0.9952
9/28/2021,64,Moderate,D,608,0.707799767
10/26/2021,92,Low,A,467,0.698056801
10/26/2021,92,Low,B,471,0.923529412
10/26/2021,92,Low,C,506,0.798107256
10/26/2021,92,Low,D,463,0.926
10/26/2021,92,Moderate,A,453,0.723642173
10/26/2021,92,Moderate,B,484,0.719167905
10/26/2021,92,Moderate,C,466,0.932
10/26/2021,92,Moderate,D,449,0.611716621
12/2/2021,129,Low,A,239,0.528761062
12/2/2021,129,Low,B,246,0.851211073
12/2/2021,129,Low,C,234,0.619047619
12/2/2021,129,Low,D,235,0.818815331
12/2/2021,129,Moderate,A,244,0.576832151
12/2/2021,129,Moderate,B,229,0.521640091
12/2/2021,129,Moderate,C,226,0.795774648
12/2/2021,129,Moderate,D,247,0.461682243
12/20/2021,147,Low,A,227,0.513574661
12/20/2021,147,Low,B,234,0.838709677
12/20/2021,147,Low,C,216,0.586956522
12/20/2021,147,Low,D,218,0.78700361
12/20/2021,147,Moderate,A,228,0.552058111
12/20/2021,147,Moderate,B,218,0.508158508
12/20/2021,147,Moderate,C,212,0.773722628
12/20/2021,147,Moderate,D,219,0.417142857
1/24/2022,182,Low,A,186,0.42081448
1/24/2022,182,Low,B,187,0.670250896
1/24/2022,182,Low,C,188,0.510869565
1/24/2022,182,Low,D,183,0.660649819
1/24/2022,182,Moderate,A,178,0.430992736
1/24/2022,182,Moderate,B,155,0.361305361
1/24/2022,182,Moderate,C,151,0.551094891
1/24/2022,182,Moderate,D,174,0.331428571
2/28/2022,217,Low,A,94,0.425339367
2/28/2022,217,Low,B,88,0.630824373
2/28/2022,217,Low,C,84,0.456521739
2/28/2022,217,Low,D,90,0.649819495
2/28/2022,217,Low,E,88,0.398190045
2/28/2022,217,Low,F,88,0.630824373
2/28/2022,217,Low,G,82,0.445652174
2/28/2022,217,Low,H,89,0.642599278
2/28/2022,217,Moderate,A,76,0.368038741
2/28/2022,217,Moderate,B,75,0.34965035
2/28/2022,217,Moderate,C,72,0.525547445
2/28/2022,217,Moderate,D,76,0.28952381
2/28/2022,217,Moderate,E,89,0.430992736
2/28/2022,217,Moderate,F,70,0.326340326
2/28/2022,217,Moderate,G,64,0.467153285
2/28/2022,217,Moderate,H,71,0.27047619
3/28/2022,245,Low,A,47,0.265536723
3/28/2022,245,Low,B,56,0.551724138
3/28/2022,245,Low,C,49,0.326666667
3/28/2022,245,Low,D,44,0.446700508
3/28/2022,245,Low,E,53,0.289617486
3/28/2022,245,Low,F,52,0.512315271
3/28/2022,245,Low,G,51,0.335526316
3/28/2022,245,Low,H,51,0.512562814
3/28/2022,245,Moderate,A,53,0.293628809
3/28/2022,245,Moderate,B,50,0.263852243
3/28/2022,245,Moderate,C,50,0.434782609
3/28/2022,245,Moderate,D,51,0.21564482
3/28/2022,245,Moderate,E,48,0.286567164
3/28/2022,245,Moderate,F,48,0.246786632
3/28/2022,245,Moderate,G,50,0.406504065
3/28/2022,245,Moderate,H,51,0.211180124
4/25/2022,273,Low,A,39,0.225433526
4/25/2022,273,Low,B,49,0.502564103
4/25/2022,273,Low,C,41,0.280821918
4/25/2022,273,Low,D,36,0.380952381
4/25/2022,273,Low,E,45,0.251396648
4/25/2022,273,Low,F,44,0.451282051
4/25/2022,273,Low,G,43,0.290540541
4/25/2022,273,Low,H,46,0.481675393
4/25/2022,273,Moderate,A,45,0.254957507
