"Date","Channel","Lpc","Leq","Lz","alpha","Filename"
"2/23/2023","CH1",-0.0348599517531243,-0.0352175356019205,-0.0352175356019205,0.4,"run_1_raw.txt"
"2/23/2023","CH2",-0.0435369740611491,-0.0534326441456908,-0.0534326441456908,0.4,"run_1_raw.txt"
"2/23/2023","CH3",-0.0452717636505774,-0.0469009090899388,-0.0469009090899388,0.4,"run_1_raw.txt"
"2/23/2023","CH4",-0.0359771910822226,-0.0368971424537891,-0.0450930908379268,0.4,"run_1_raw.txt"
"2/23/2023","CH5",-0.0278786649630441,-0.0343690602391708,-0.0343690602391708,0.4,"run_1_raw.txt"
"2/23/2023","CH6",-0.0524085598283036,-0.0573036178600553,-0.0573036178600553,0.4,"run_1_raw.txt"
"2/23/2023","CH7",-0.0401383071943462,-0.0391847022990351,-0.0391847022990351,0.4,"run_1_raw.txt"
"2/23/2023","CH8",-0.0046090925406147,-0.00453739214491281,-0.00453739214491281,0.4,"run_1_raw.txt"
"2/23/2023","CH1",-0.0341379323049207,-0.0356816681701202,-0.0356816681701202,0.4,"run_2_raw.txt"
"2/23/2023","CH2",-0.0223359739751095,-0.020035233274518,-0.020035233274518,0.4,"run_2_raw.txt"
"2/23/2023","CH3",-0.041956508962719,-0.0441481223312268,-0.0441481223312268,0.4,"run_2_raw.txt"
"2/23/2023","CH4",-0.0345451603433123,-0.0335902880006483,-0.0335902880006483,0.4,"run_2_raw.txt"
"2/23/2023","CH5",-0.0404904081628914,-0.0376107045146771,-0.0374061869831701,0.4,"run_2_raw.txt"
"2/23/2023","CH6",-0.00588524622383069,-0.00570238056438326,-0.00570238056438326,0.4,"run_2_raw.txt"
"2/23/2023","CH7",-0.0356659973833559,-0.0330944728794889,-0.0330944728794889,0.4,"run_2_raw.txt"
"2/23/2023","CH8",-0.00364781254013655,-0.00295888731479558,-0.00295888731479558,0.4,"run_2_raw.txt"
"2/23/2023","CH1",-0.0363161892981428,-0.0361219329157267,-0.0365962438837332,0.4,"run_3_raw.txt"
"2/23/2023","CH2",-0.0513548922342654,-0.0509488391615773,-0.0509488391615773,0.4,"run_3_raw.txt"
"2/23/2023","CH3",-0.0335291227013011,-0.0341642913520636,-0.0341642913520636,0.4,"run_3_raw.txt"
"2/23/2023","CH4",-0.0391534772973046,-0.0375852138096806,-0.0375852138096806,0.4,"run_3_raw.txt"
"2/23/2023","CH5",-0.0342907038998159,-0.0392375847866726,-0.0392375847866726,0.4,"run_3_raw.txt"
"2/23/2023","CH6",-0.0184097782814083,-0.0190575628490591,-0.0172811113379811,0.4,"run_3_raw.txt"
"2/23/2023","CH7",-0.046523391482177,-0.0217657496294163,-0.0204230404258768,0.4,"run_3_raw.txt"
"2/23/2023","CH8",-0.0080281880610912,-0.00944310874432579,-0.00944310874432579,0.4,"run_3_raw.txt"
