"","Date","treatment","animal_number","initial_filter_weight_mg","dry_filter_weight_mg","ash_filter_weight_mg","tank_ID.x","inclubation_time_hours","animal_length_mm","animal_dry_weight_g","TPM_mgL","PIM_mgL","POM_mgL","Perc_INORG","Perc_ORG","RR_mghr","ORR_mghr","IRR_mghr","tank_ID.y","ER_mghr","OER_mghr","IER_mghr","IER_correct","IRR_correct","OER_correct","ORR_correct","CR","FR","RR_correct","p","f","SE","IFR","CR_correct","FR_correct","RR_Percent","TIR","OFR","OIR","i","AR","AE","pCO2"
"1",20230201,7,1,24.543,28.58,26.389,"7A",2,"23.8",0.1071,4.037,1.846,2.191,45.7270250185782,54.2729749814218,2.0185,1.0955,0.923,"7A",1.488,0.4885,0.999499999999999,2.70101181508575,2.70101181508575,2.70101181508575,2.70101181508575,1.27177508269018,5.54811879823592,5.40202363017149,0.5,0.638781189178805,0.217259355049602,5.40202363017149,3.57355477188852,15.5896326923636,34.6513849092647,10.1876090621922,10.1876090621922,7.48659724710641,0.734872844197601,4.78558543202066,0.639220365950673,"1200 μatm"
"2",20230201,7,2,25.507,28.32,27.491,"7B",2,"25.7",0.1415,2.813,1.984,0.829000000000001,70.5296836118023,29.4703163881977,1.4065,0.4145,0.991999999999999,"7B",1.6095,0.426500000000001,1.183,2.8242174292884,2.8242174292884,2.8242174292884,2.8242174292884,1.43880926130099,6.27680540242555,5.64843485857679,0.5,0.638781189178805,0.217259355049602,5.64843485857679,3.73656109718419,16.300747786466,34.6513849092647,10.6523129278892,10.6523129278892,7.82809549860084,0.734872844197601,5.00387806931245,0.639220365950673,"1200 μatm"
"3",20230201,7,3,25.058,30.446,28.626,"7C",2,"26.9",0.1529,5.388,3.568,1.82,66.2212323682257,33.7787676317743,2.694,0.91,1.784,"7C",1.767,0.407,1.36,3.13673317634137,3.13673317634137,3.13673317634137,3.13673317634137,2.07982359426681,9.07323042998894,6.27346635268275,0.5,0.638781189178805,0.217259355049602,6.27346635268275,4.15003286836784,18.1045183882547,34.6513849092647,11.831052035572,11.831052035572,8.69431885923059,0.734872844197601,5.55758568288922,0.639220365950673,"1200 μatm"
"4",20230201,7,4,25.739,29.127,27.92,"7D",2,"25",0.0917,3.388,2.181,1.207,64.3742621015349,35.6257378984651,1.694,0.603499999999999,1.0905,"7D",1.134,0.3605,0.7735,2.23978310130986,2.23978310130986,2.23978310130986,2.23978310130986,1.23307607497243,5.37929437706724,4.47956620261972,0.5,0.638781189178805,0.217259355049602,4.47956620261972,2.96332935123685,12.9275242947707,34.6513849092647,8.44795809215102,8.44795809215102,6.20817499084116,0.734872844197601,3.96839188953131,0.639220365950673,"1200 μatm"
"5",20230201,7,5,23.871,26.751,25.64,"7A",2,"23.3",0.2263,2.88,1.769,1.111,61.4236111111111,38.5763888888889,1.44,0.5555,0.884500000000001,"7A",1.015,0.343,0.672000000000001,1.30177116233465,1.30177116233465,1.30177116233465,1.30177116233465,1.02965821389195,4.49188395810362,2.6035423246693,0.5,0.638781189178805,0.217259355049602,2.6035423246693,1.72229922249346,7.51353035812774,34.6513849092647,4.90998803345844,4.90998803345844,3.60821687112379,0.734872844197601,2.30644570878914,0.639220365950673,"1200 μatm"
"6",20230201,7,6,24.476,27.63,26.263,"7B",2,"25.1",0.1189,3.154,1.787,1.367,56.6582117945467,43.3417882054533,1.577,0.683499999999999,0.893500000000001,"7B",1.882,0.452999999999999,1.429,3.68617800566897,3.68617800566897,3.68617800566897,3.68617800566897,1.53638368246968,6.70247381477396,7.37235601133794,0.5,0.638781189178805,0.217259355049602,7.37235601133794,4.87697200309013,21.2757903634807,34.6513849092647,13.9034343521427,13.9034343521427,10.2172563464738,0.734872844197601,6.5310783408048,0.639220365950673,"1200 μatm"
"7",20230201,7,7,24.124,26.285,24.492,"7C",2,"21.9",0.1439,2.161,0.368000000000002,1.793,17.0291531698289,82.9708468301711,1.0805,0.8965,0.184000000000001,"7C",-0.2355,0.264999999999999,-0.500499999999999,-1.18595177248287,-1.18595177248287,-1.18595177248287,-1.18595177248287,-0.209371554575521,-0.913383406835712,-2.37190354496574,0.5,0.638781189178805,0.217259355049602,-2.37190354496574,-1.56906518961349,-6.84504688968886,34.6513849092647,-4.47314334472312,-4.47314334472312,-3.28719157224025,0.734872844197601,-2.10123979975738,0.639220365950673,"1200 μatm"
"8",20230201,7.5,1,25.352,29.523,28.07,"7.5A",2,"26.4",0.1548,4.171,2.718,1.453,65.1642292016303,34.8357707983697,2.0855,0.7265,1.359,"7.5A",1.447,0.4635,0.983499999999999,2.98999783783904,4.13157810027784,1.4091143851941,2.20867659297413,2.02521613832853,8.0181682276657,6.34025469325197,0.348357707983697,0.711421103075303,0.510335430762695,7.12157593811687,6.15698207906359,24.3765182146925,26.0096812736385,18.0362635214406,17.2549422765757,15.0462656836015,0.834222990017601,13.6371512984074,0.906347899550262,"800 μatm"
"9",20230201,7.5,2,23.423,28.013,26.403,"7.5B",2,"26.4",0.1779,4.59,2.98,1.61,64.9237472766884,35.0762527233116,2.295,0.805000000000001,1.49,"7.5B",1.2985,0.43,0.868499999999999,2.43032837641061,4.16947528019782,1.20327138958729,2.2526359735297,2.03904899135447,8.07293479827089,6.42211125372752,0.350762527233116,0.711421103075303,0.50695512725606,6.59980365660842,5.70588212386896,22.5905383087512,28.4283232473469,16.1684270550237,15.9907346521427,13.738098678613,0.849686777313599,12.5348272890258,0.912413542970069,"800 μatm"
"10",20230201,7.5,3,24.764,31.731,28.703,"7.5C",2,"26.2",0.1316,6.967,3.939,3.028,56.5379646906846,43.4620353093154,3.4835,1.514,1.9695,"7.5C",0.935,0.3505,0.5845,1.95752810219182,6.59598220233838,1.17384704844864,5.07048339900498,2.20806916426513,8.74211383285303,11.6664656013434,0.434620353093154,0.711421103075303,0.38908144386722,8.5535103045302,7.39496568115004,29.2779016259532,39.8473420342451,17.6114360246098,20.724391321423,15.653907922418,0.888849035396295,14.4800608739693,0.925012523756603,"800 μatm"
