"Airradians_TranscriptID","log2FoldChange","up","down","Effect","gene.annotation"
"evm.model.Contig222.70",0.448677489462993,TRUE,FALSE,"Generation_1","GO:0006605;GO:0055085"
"evm.model.Contig225.62",-9.39096124034461,FALSE,TRUE,"Generation_2","GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig227.129",0.451705134571725,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig227.130",0.923643580305224,TRUE,FALSE,"Generation_1","GO:0005634;GO:0006397;GO:0022618;GO:0032991"
"evm.model.Contig228.83",0.4564432196382,TRUE,FALSE,"Generation_1","GO:0016491"
"evm.model.Contig231.48",0.657911630437452,TRUE,FALSE,"Generation_1","GO:0005794;GO:0016192;GO:0031410;GO:0032991"
"evm.model.Contig234.29",-1.82425020605018,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig247.79",8.72622468307435,TRUE,FALSE,"Generation_2","GO:0022857"
"evm.model.Contig257.10",0.360619554344856,TRUE,FALSE,"Generation_1","GO:0005856;GO:0007010;GO:0032991;GO:0043167;GO:0065003"
"evm.model.Contig279.25",-9.43490000910247,FALSE,TRUE,"Generation_2","GO:0003674"
"evm.model.Contig282.65",0.580043398072474,TRUE,FALSE,"Generation_1","GO:0006457;GO:0006464;GO:0016853"
"evm.model.Contig284.70",-0.928760654478945,FALSE,TRUE,"Generation_1","GO:0003674;GO:0009058;GO:0034641"
"evm.model.Contig292.14",-1.12063725659223,FALSE,TRUE,"Generation_1","GO:0016491"
"evm.model.Contig313.23",-0.720367027532642,FALSE,TRUE,"Generation_1","GO:0016491"
"evm.model.Contig313.49",-21.7397308789145,FALSE,TRUE,"Generation_2",NA
"evm.model.Contig324.46",0.710724730936124,TRUE,FALSE,"Generation_1","GO:0016491;GO:0055085"
"evm.model.Contig327.15.1",0.446762010648336,TRUE,FALSE,"Generation_1","GO:0003674"
"evm.model.Contig327.26.2",0.7122189398461,TRUE,FALSE,"Generation_1",""
"evm.model.Contig329.44",0.359894845837223,TRUE,FALSE,"Generation_1","GO:0003674;GO:0009058;GO:0034641"
"evm.model.Contig344.29",1.01960420812543,TRUE,FALSE,"Generation_1","GO:0005737;GO:0005783;GO:0006464;GO:0009058;GO:0016757;GO:0032991"
"evm.model.Contig347.63",-0.90131053487897,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig348.68",0.587723382463721,TRUE,FALSE,"Generation_1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig348.70",1.03820319186558,TRUE,FALSE,"Generation_1","GO:0003677;GO:0005622;GO:0009058;GO:0030234;GO:0032991"
"evm.model.Contig348.90.1",0.321958818625478,TRUE,FALSE,"Generation_1","GO:0003674;GO:0022618"
"evm.model.Contig350.56",-0.471540186831506,FALSE,TRUE,"Generation_1","GO:0003674"
"evm.model.Contig352.89",0.433411366887668,TRUE,FALSE,"Generation_1",""
"evm.model.Contig362.22",0.469436113663378,TRUE,FALSE,"Generation_1",""
"evm.model.Contig364.84",0.340007455166902,TRUE,FALSE,"Generation_1","GO:0000228;GO:0009058;GO:0034641"
"evm.model.Contig408.44",-0.632500237170505,FALSE,TRUE,"Generation_1","GO:0008219"
"evm.model.Contig408.69",-0.538042935806341,FALSE,TRUE,"Generation_1",""
"evm.model.Contig412.53",-1.3383312612615,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig412.61",1.0347734792062,TRUE,FALSE,"Generation_1","GO:0003723;GO:0005730;GO:0032991;GO:0042254"
"evm.model.Contig416.12",1.1095786176441,TRUE,FALSE,"Generation_1","GO:0006457;GO:0043167;GO:0051082"
"evm.model.Contig42.136",-0.630652947048149,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig42.54",0.561569656706492,TRUE,FALSE,"Generation_1","GO:0006091;GO:0016746;GO:0044281"
"evm.model.Contig420.42",0.302374741329476,TRUE,FALSE,"Generation_1","GO:0003723"
"evm.model.Contig423.15",0.423845659088325,TRUE,FALSE,"Generation_1",""
"evm.model.Contig429.20",-0.688071226196056,FALSE,TRUE,"Generation_1","GO:0003674"
"evm.model.Contig438.1",-0.320695845950511,FALSE,TRUE,"Generation_1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig440.18",0.755110073661,TRUE,FALSE,"Generation_1","GO:0005737;GO:0009056;GO:0016887;GO:0043167"
"evm.model.Contig440.78",-0.908404740890592,FALSE,TRUE,"Generation_1",""
"evm.model.Contig449.129",0.662672460389605,TRUE,FALSE,"Generation_1",""
"evm.model.Contig449.63",-22.7949159488921,FALSE,TRUE,"Generation_2","GO:0003924;GO:0005198;GO:0005856;GO:0008150;GO:0043167"
"evm.model.Contig450.28",0.915300853592254,TRUE,FALSE,"Generation_1","GO:0005739;GO:0006520;GO:0006629;GO:0009056;GO:0009058;GO:0016491;GO:0016829;GO:0016887;GO:0032991;GO:0034641;GO:0043167;GO:0051276"
"evm.model.Contig464.23",-0.229006457372777,FALSE,TRUE,"Generation_1","GO:0003677;GO:0003700;GO:0005622;GO:0009058;GO:0032991;GO:0034641"
"evm.model.Contig464.39",-0.772724526158661,FALSE,TRUE,"Generation_1","GO:0006464;GO:0016301;GO:0043167"
