 ,Area,Mean,Min,Max,Angle,Length
1,1.602E-4,187.512,131.939,242.325,133.641,0.169
2,1.531E-4,194.822,168.224,230.318,117.391,0.161
3,1.727E-4,180.220,111.127,234.992,88.215,0.182
4,1.744E-4,189.995,126.221,232.711,95.008,0.184
5,1.727E-4,190.136,130.480,231.069,85.236,0.182
