 ,Area,Mean,Min,Max,Angle,Length
1,1.566E-4,156.206,79.329,222.752,28.401,0.165
2,1.611E-4,180.857,94.176,242.787,-0.796,0.170
3,1.584E-4,210.502,189.035,230.114,67.717,0.167
4,1.584E-4,191.080,95.257,235.730,130.332,0.167
5,1.513E-4,169.325,75.396,223.349,-165.854,0.160
