 ,Area,Mean,Min,Max,Angle,Length
1,1.593E-4,192.090,117.110,255.000,-3.750,0.168
2,1.629E-4,216.047,173.876,244.938,-139.376,0.172
3,1.655E-4,187.736,119.760,246.074,-48.143,0.174
4,1.771E-4,198.939,159.518,235.244,50.663,0.187
5,1.513E-4,195.576,160.798,237.404,-22.663,0.159
