Date,sample_type,treatment,water_sample_time,vol_filtered_L,initial_filter_weight_mg,dry_filter_weight_mg,ash_filter_weight_mg,animal_number,tank_ID,inclubation_time_hours,animal_length_mm,animal_dry_weight_mg
20230201,feces,7.5,NA,NA,25.404,28.298,27.371,1,7.5A,2,26.4,0.1548
20230201,feces,7.5,NA,NA,24.661,27.258,26.398,2,7.5B,2,26.4,0.1779
20230201,feces,7.5,NA,NA,24.336,26.206,25.505,3,7.5C,2,26.2,0.1316
20230201,feces,7.5,NA,NA,24.593,26.008,25.348,4,7.5D,2,27.1,0.1463
20230201,feces,7.5,NA,NA,24.296,27.149,26.228,5,7.5A,2,22.8,0.0957
20230201,feces,7.5,NA,NA,23.626,26.322,25.522,6,7.5B,2,22.5,0.0791
20230201,feces,7.5,NA,NA,24.969,28.296,27.347,7,7.5C,2,24.7,0.1348
20230201,feces,7,NA,NA,24.474,27.45,26.473,1,7A,2,23.8,0.1071
20230201,feces,7,NA,NA,24.726,27.945,27.092,2,7B,2,25.7,0.1415
20230201,feces,7,NA,NA,24.26,27.794,26.98,3,7C,2,26.9,0.1529
20230201,feces,7,NA,NA,25.134,27.402,26.681,4,7D,2,25,0.0917
20230201,feces,7,NA,NA,24.265,26.295,25.609,5,7A,2,23.3,0.2263
20230201,feces,7,NA,NA,24.476,28.24,27.334,6,7B,2,25.1,0.1189
20230201,feces,7,NA,NA,25.487,25.016,24.486,7,7C,2,21.9,0.1439
20230201,feces,8,NA,NA,24.048,27.211,26.389,1,8A,2,24.3,0.0801
20230201,feces,8,NA,NA,24.674,27.78,27.014,2,8B,2,25.2,0.1327
20230201,feces,8,NA,NA,24.9,27.605,26.914,3,8C,2,24,0.0905
20230201,feces,8,NA,NA,24.909,26.937,26.238,4,8D,2,22.7,0.0912
20230201,feces,8,NA,NA,24.102,26.417,25.782,5,8A,2,24.2,0.1067
20230201,feces,8,NA,NA,24.924,25.467,25.02,6,8B,2,23.5,0.0727
20230201,feces,8,NA,NA,23.808,28.454,27.545,7,8C,2,26.4,0.138
20230201,pseudofeces,7.5,NA,NA,25.352,29.523,28.07,1,7.5A,2,26.4,0.1548
20230201,pseudofeces,7.5,NA,NA,23.423,28.013,26.403,2,7.5B,2,26.4,0.1779
20230201,pseudofeces,7.5,NA,NA,24.764,31.731,28.703,3,7.5C,2,26.2,0.1316
20230201,pseudofeces,7.5,NA,NA,23.952,29.407,27.507,4,7.5D,2,27.1,0.1463
20230201,pseudofeces,7.5,NA,NA,24.6,25.85,25.13,5,7.5A,2,22.8,0.0957
20230201,pseudofeces,7.5,NA,NA,24.67,29.71,27.525,6,7.5B,2,22.5,0.0791
20230201,pseudofeces,7.5,NA,NA,25.124,30.264,28.179,7,7.5C,2,24.7,0.1348
20230201,pseudofeces,7,NA,NA,24.543,28.58,26.389,1,7A,2,23.8,0.1071
20230201,pseudofeces,7,NA,NA,25.507,28.32,27.491,2,7B,2,25.7,0.1415
20230201,pseudofeces,7,NA,NA,25.058,30.446,28.626,3,7C,2,26.9,0.1529
20230201,pseudofeces,7,NA,NA,25.739,29.127,27.92,4,7D,2,25,0.0917
20230201,pseudofeces,7,NA,NA,23.871,26.751,25.64,5,7A,2,23.3,0.2263
20230201,pseudofeces,7,NA,NA,24.476,27.63,26.263,6,7B,2,25.1,0.1189
20230201,pseudofeces,7,NA,NA,24.124,26.285,24.492,7,7C,2,21.9,0.1439
20230201,pseudofeces,8,NA,NA,24.944,29.39,27.639,1,8A,2,24.3,0.0801
20230201,pseudofeces,8,NA,NA,24.296,28.027,26.92,2,8B,2,25.2,0.1327
